word,rank,neighbor,score
dobiti,1.0,dobijati,0.8807474970817566
dobiti,2.0,pobiti,0.8539547920227051
dobiti,3.0,dobit,0.8488765358924866
dobiti,4.0,dobiće,0.8477775454521179
dobiti,5.0,dobrobiti,0.8395842909812927
dobiti,6.0,dobićeš,0.8227603435516357
dobiti,7.0,dobićete,0.8153621554374695
dobiti,8.0,dobi,0.8148736357688904
dobiti,9.0,dobićemo,0.8129636645317078
dobiti,10.0,dobijaš,0.8082732558250427
ubiti,1.0,pobiti,0.8659234046936035
ubiti,2.0,gubiti,0.8490028381347656
ubiti,3.0,odbiti,0.8488712310791016
ubiti,4.0,izgubiti,0.8444902300834656
ubiti,5.0,ubijati,0.8439330458641052
ubiti,6.0,„biti,0.8395057320594788
ubiti,7.0,uhvatiti,0.8389145135879517
ubiti,8.0,kiti,0.8367948532104492
ubiti,9.0,zarobiti,0.8341698050498962
ubiti,10.0,razbiti,0.8308112621307373
odbiti,1.0,pobiti,0.8791874647140503
odbiti,2.0,odložiti,0.8743407130241394
odbiti,3.0,razbiti,0.8617426753044128
odbiti,4.0,odlučiti,0.8611374497413635
odbiti,5.0,uputiti,0.8584483861923218
odbiti,6.0,narušiti,0.8580898642539978
odbiti,7.0,uhvatiti,0.8574456572532654
odbiti,8.0,odbaciti,0.8572949767112732
odbiti,9.0,izvlačiti,0.8527800440788269
odbiti,10.0,srušiti,0.8489034175872803
izbiti,,,
razbiti,1.0,pobiti,0.886501133441925
razbiti,2.0,odbiti,0.8617426753044128
razbiti,3.0,probiti,0.8593407273292542
razbiti,4.0,srušiti,0.849696695804596
razbiti,5.0,oslabiti,0.8467291593551636
razbiti,6.0,izvaditi,0.8466755151748657
razbiti,7.0,razrešiti,0.8463066816329956
razbiti,8.0,zarobiti,0.8450028896331787
razbiti,9.0,razbije,0.8438654541969299
razbiti,10.0,razdvojiti,0.8438565731048584
izgledati,1.0,gledati,0.8952133059501648
izgledati,2.0,sagledati,0.8898263573646545
izgledati,3.0,izgleda,0.8890072107315063
izgledati,4.0,izgledao,0.8858230113983154
izgledati,5.0,ugledati,0.8779820799827576
izgledati,6.0,izgledaju,0.8741575479507446
izgledati,7.0,izgledali,0.8683795928955078
izgledati,8.0,izgledalo,0.8583914041519165
izgledati,9.0,nadgledati,0.851934015750885
izgledati,10.0,izgledala,0.8456732630729675
ugledati,1.0,gledati,0.9276444911956787
ugledati,2.0,sagledati,0.92673659324646
ugledati,3.0,nadgledati,0.893980860710144
ugledati,4.0,izgledati,0.8779820799827576
ugledati,5.0,ugledamo,0.8775469064712524
ugledati,6.0,pogledati,0.8749486207962036
ugledati,7.0,ugleda,0.8487221598625183
ugledati,8.0,ugledao,0.8460075855255127
ugledati,9.0,ugledan,0.8405303955078125
ugledati,10.0,ugledali,0.8302520513534546
zagledati,,,
pregledati,1.0,pregleda,0.9242892265319824
pregledati,2.0,pregledam,0.9229124784469604
pregledati,3.0,pregledače,0.9191672801971436
pregledati,4.0,pregledaču,0.919044554233551
pregledati,5.0,pregledao,0.9186265468597412
pregledati,6.0,pregledan,0.9174582362174988
pregledati,7.0,preglede,0.9136250615119934
pregledati,8.0,pregledava,0.9082812070846558
pregledati,9.0,pregledaju,0.9043567180633545
pregledati,10.0,pregledač,0.897775411605835
sagledati,1.0,ugledati,0.9267365336418152
sagledati,2.0,gledati,0.9228611588478088
sagledati,3.0,nadgledati,0.9148289561271667
sagledati,4.0,izgledati,0.889826238155365
sagledati,5.0,pogledati,0.8779404759407043
sagledati,6.0,sagleda,0.8676535487174988
sagledati,7.0,sagledava,0.852785587310791
sagledati,8.0,pregledati,0.8354731798171997
sagledati,9.0,posumnjati,0.8333488702774048
sagledati,10.0,upućivati,0.818256676197052
nadgledati,1.0,sagledati,0.9148290753364563
nadgledati,2.0,gledati,0.8961513638496399
nadgledati,3.0,ugledati,0.8939809203147888
nadgledati,4.0,nadgleda,0.8898167610168457
nadgledati,5.0,nadgledao,0.8810905814170837
nadgledati,6.0,nadgledaju,0.8681106567382812
nadgledati,7.0,pogledati,0.8613510727882385
nadgledati,8.0,izgledati,0.8519338965415955
nadgledati,9.0,pregledati,0.8418166041374207
nadgledati,10.0,nadgledanje,0.8325231671333313
odgovoriti,1.0,odgovoriš,0.932159423828125
odgovoriti,2.0,odgovorite,0.9272297024726868
odgovoriti,3.0,odgovori,0.9248348474502563
odgovoriti,4.0,odgovorim,0.9172380566596985
odgovoriti,5.0,odgovoris,0.9057087898254395
odgovoriti,6.0,odgovore,0.8963160514831543
odgovoriti,7.0,odgovorio,0.8959426879882812
odgovoriti,8.0,odgovorila,0.8847238421440125
odgovoriti,9.0,odgovorili,0.8846001625061035
odgovoriti,10.0,odgovorima,0.88327556848526
izgovoriti,1.0,govoriti,0.9196248650550842
izgovoriti,2.0,izgovori,0.9144835472106934
izgovoriti,3.0,dogovoriti,0.9080028533935547
izgovoriti,4.0,izgovore,0.8831302523612976
izgovoriti,5.0,izgovorio,0.8823352456092834
izgovoriti,6.0,izgovoru,0.8630944490432739
izgovoriti,7.0,izgovorom,0.8605780005455017
izgovoriti,8.0,izgovorene,0.852120041847229
izgovoriti,9.0,izgovor,0.8445528149604797
izgovoriti,10.0,izgovora,0.8422725200653076
progovoriti,,,
dogovoriti,1.0,govoriti,0.9347867369651794
dogovoriti,2.0,dogovorite,0.9164578914642334
dogovoriti,3.0,dogovori,0.915563702583313
dogovoriti,4.0,dogovorimo,0.9125480651855469
dogovoriti,5.0,izgovoriti,0.9080029129981995
dogovoriti,6.0,ugovoriti,0.8961097002029419
dogovoriti,7.0,dogovore,0.884040117263794
dogovoriti,8.0,dogovorio,0.8822321891784668
dogovoriti,9.0,dogovorili,0.8730586767196655
dogovoriti,10.0,dogovorima,0.8686203956604004
odreći,1.0,odrekne,0.8844709992408752
odreći,2.0,odreknu,0.8801217675209045
odreći,3.0,izreći,0.8680415153503418
odreći,4.0,odrekao,0.8639010787010193
odreći,5.0,odrekli,0.8632832765579224
odreći,6.0,važeći,0.8597869277000427
odreći,7.0,šireći,0.8554722666740417
odreći,8.0,preći,0.8506356477737427
odreći,9.0,odre,0.8464952707290649
odreći,10.0,odredišni,0.8450601100921631
izreći,1.0,odreći,0.8680415153503418
izreći,2.0,preći,0.8603786826133728
izreći,3.0,važeći,0.8583584427833557
izreći,4.0,izreku,0.8576683402061462
izreći,5.0,izrekao,0.8529986143112183
izreći,6.0,izbjeći,0.8467247486114502
izreći,7.0,takoreći,0.8450908660888672
izreći,8.0,misleći,0.8437667489051819
izreći,9.0,izriče,0.8401049375534058
izreći,10.0,reći,0.838561475276947
uzimati,1.0,imati,0.8648420572280884
uzimati,2.0,zauzimati,0.857382595539093
uzimati,3.0,uzimaš,0.8537227511405945
uzimati,4.0,uzimamo,0.850932776927948
uzimati,5.0,preduzimati,0.8490052819252014
uzimati,6.0,preuzimati,0.8481278419494629
uzimati,7.0,uzimam,0.8383160829544067
uzimati,8.0,uzimaju,0.8263906836509705
uzimati,9.0,primati,0.8127776384353638
uzimati,10.0,uzimao,0.8093813061714172
donositi,1.0,snositi,0.930799663066864
donositi,2.0,nositi,0.9070681929588318
donositi,3.0,podnositi,0.8968762755393982
donositi,4.0,unositi,0.8963636755943298
donositi,5.0,iznositi,0.8814783096313477
donositi,6.0,odnositi,0.8720545768737793
donositi,7.0,prenositi,0.8463525772094727
donositi,8.0,doprinositi,0.8418847322463989
donositi,9.0,oglasiti,0.8101793527603149
donositi,10.0,naglasiti,0.8084061145782471
odnositi,1.0,podnositi,0.9451608657836914
odnositi,2.0,snositi,0.9083459973335266
odnositi,3.0,nositi,0.8990106582641602
odnositi,4.0,unositi,0.8833705186843872
odnositi,5.0,donositi,0.8720546364784241
odnositi,6.0,iznositi,0.8551318049430847
odnositi,7.0,odnosiš,0.8401166796684265
odnositi,8.0,odnosi,0.8223087787628174
odnositi,9.0,prenositi,0.8215259909629822
odnositi,10.0,odnosilo,0.8062663078308105
podnositi,1.0,odnositi,0.9451608061790466
podnositi,2.0,snositi,0.9207779765129089
podnositi,3.0,unositi,0.9044226408004761
podnositi,4.0,nositi,0.902665376663208
podnositi,5.0,donositi,0.896876335144043
podnositi,6.0,iznositi,0.8876329660415649
podnositi,7.0,podnosi,0.8503850102424622
podnositi,8.0,odnosiš,0.8393281698226929
podnositi,9.0,podnosio,0.8340864181518555
podnositi,10.0,podnosilca,0.8295092582702637
prenositi,1.0,snositi,0.8866641521453857
prenositi,2.0,prenosivi,0.8732287883758545
prenositi,3.0,unositi,0.8711193799972534
prenositi,4.0,prenosi,0.8602098226547241
prenositi,5.0,nositi,0.8588684797286987
prenositi,6.0,prenosivim,0.8556786179542542
prenositi,7.0,prenosim,0.8540467619895935
prenositi,8.0,prenosilo,0.8529241681098938
prenositi,9.0,prenosio,0.8489317297935486
prenositi,10.0,donositi,0.8463525772094727
iznositi,1.0,snositi,0.9200384616851807
iznositi,2.0,podnositi,0.8876329660415649
iznositi,3.0,unositi,0.8874632716178894
iznositi,4.0,nositi,0.8856235146522522
iznositi,5.0,donositi,0.8814783692359924
iznositi,6.0,odnositi,0.8551316857337952
iznositi,7.0,iznosiš,0.8316649198532104
iznositi,8.0,prenositi,0.825779914855957
iznositi,9.0,doprinositi,0.818108081817627
iznositi,10.0,iznosilo,0.806624174118042
unositi,1.0,snositi,0.9398267269134521
unositi,2.0,nositi,0.9321022033691406
unositi,3.0,podnositi,0.9044225811958313
unositi,4.0,donositi,0.8963636159896851
unositi,5.0,iznositi,0.8874633312225342
unositi,6.0,odnositi,0.8833703994750977
unositi,7.0,prenositi,0.8711193799972534
unositi,8.0,doprinositi,0.8273435831069946
unositi,9.0,korisiti,0.8120678663253784
unositi,10.0,resiti,0.8084957599639893
prinositi,,,
nanositi,,,
provoditi,,,
dovoditi,1.0,dovodimo,0.8563469052314758
dovoditi,2.0,voditi,0.8540774583816528
dovoditi,3.0,dovodi,0.8486801981925964
dovoditi,4.0,dovodilo,0.844682514667511
dovoditi,5.0,uvoditi,0.843827486038208
dovoditi,6.0,sprovoditi,0.8423628807067871
dovoditi,7.0,dogoditi,0.8370510935783386
dovoditi,8.0,dovršiti,0.834540605545044
dovoditi,9.0,pobuditi,0.8341128826141357
dovoditi,10.0,uslediti,0.8334810733795166
navoditi,1.0,navodiš,0.8933609127998352
navoditi,2.0,navodite,0.8721703886985779
navoditi,3.0,navodim,0.870996356010437
navoditi,4.0,uvoditi,0.8645978569984436
navoditi,5.0,navodimo,0.8614457845687866
navoditi,6.0,navodi,0.8590993285179138
navoditi,7.0,voditi,0.8503496050834656
navoditi,8.0,ugoditi,0.8398959040641785
navoditi,9.0,dogoditi,0.8355621695518494
navoditi,10.0,naznačiti,0.8280792832374573
izvoditi,1.0,uvoditi,0.8662564158439636
izvoditi,2.0,izvodi,0.8566077351570129
izvoditi,3.0,izvaditi,0.8562136888504028
izvoditi,4.0,voditi,0.8542171120643616
izvoditi,5.0,proizvoditi,0.8285658955574036
izvoditi,6.0,izvodio,0.8262335062026978
izvoditi,7.0,izvodile,0.82131427526474
izvoditi,8.0,izvode,0.8130170106887817
izvoditi,9.0,ugoditi,0.8118520379066467
izvoditi,10.0,izvlačiti,0.8085970878601074
prevoditi,1.0,prevodiš,0.9177968502044678
prevoditi,2.0,prevodim,0.8995640873908997
prevoditi,3.0,prevodi,0.8963499069213867
prevoditi,4.0,prevodimo,0.8905646204948425
prevoditi,5.0,prevodioca,0.8857324719429016
prevoditi,6.0,prevode,0.8773022294044495
prevoditi,7.0,prevodio,0.869414746761322
prevoditi,8.0,prevodima,0.8632364273071289
prevoditi,9.0,prevodioci,0.8618566393852234
prevoditi,10.0,prevod,0.8575186729431152
uvoditi,1.0,voditi,0.9124290347099304
uvoditi,2.0,izvoditi,0.8662564754486084
uvoditi,3.0,navoditi,0.8645978569984436
uvoditi,4.0,ugoditi,0.8513409495353699
uvoditi,5.0,dovoditi,0.8438274264335632
