base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
praviti,napraviti,na,37,100
uzimati,zauzimati,za,58,143
stavljati,postavljati,po,28,62
nositi,prenositi,pre,138,46
kazati,pokazati,po,89,122
gledati,pogledati,po,47,6
pisati,zapisati,za,171,14
držati,podržati,po,83,36
kazati,prikazati,pri,89,39
umeti,razumeti,raz,10,32
padati,pripadati,pri,53,273
stati,nastati,na,22,350
stajati,nastajati,na,54,132
umeti,izumeti,iz,10,8
držati,zadržati,za,83,106
staviti,nastaviti,na,30,144
ostajati,zaostajati,za,86,10
stajati,postajati,po,54,208
čitati,pročitati,pro,25,10
ticati,poticati,po,43,159
sporiti,usporiti,u,5,13
slati,poslati,po,59,113
uzeti,preuzeti,pre,20,129
poznavati,prepoznavati,pre,30,11
puštati,dopuštati,do,7,9
tvrditi,utvrditi,u,112,51
dati,dodati,do,232,28
padati,spadati,s,53,144
javiti,pojaviti,po,27,150
voditi,navoditi,na,240,85
stupiti,nastupiti,na,46,21
živeti,doživeti,do,569,92
meriti,pomeriti,po,20,10
stajati,ostajati,o,54,86
stavljati,ostavljati,o,28,16
teći,steći,s,32,94
staviti,postaviti,po,30,92
služiti,poslužiti,po,146,16
nuditi,ponuditi,po,30,23
biti,dobiti,do,49796,411
živeti,preživeti,pre,569,34
baviti,obaviti,o,241,13
voditi,provoditi,pro,240,28
seliti,preseliti,pre,11,39
zvati,prozvati,pro,150,6
slediti,naslediti,na,70,36
staviti,ostaviti,o,30,76
stajati,pristajati,pri,54,12
vršiti,završiti,za,113,111
krenuti,skrenuti,s,62,5
učiti,vučiti,v,52,9
pisati,upisati,u,171,27
biti,ubiti,u,49796,67
puštati,napuštati,na,7,38
davati,odavati,o,116,10
nalaziti,pronalaziti,pro,1182,10
čiti,učiti,u,19,52
stati,postati,po,22,884
misliti,izmisliti,iz,62,13
raditi,razraditi,raz,305,6
pisati,napisati,na,171,170
raditi,uraditi,u,305,28
pisati,opisati,o,171,65
raditi,zaraditi,za,305,10
stati,pristati,pri,22,25
uzrokovati,prouzrokovati,pro,25,25
stati,ostati,o,22,254
kupiti,skupiti,s,21,12
slušati,poslušati,po,11,8
pasti,propasti,pro,59,17
počinjati,započinjati,za,181,26
držati,održati,o,83,69
izvesti,proizvesti,pro,45,24
stavljati,nastavljati,na,28,78
javiti,izjaviti,iz,27,35
provesti,sprovesti,s,59,39
kazati,dokazati,do,89,23
izvoditi,proizvoditi,pro,63,54
videti,uvideti,u,246,6
meriti,izmeriti,iz,20,12
beležiti,zabeležiti,za,28,27
deliti,dodeliti,do,147,20
stati,prestati,pre,22,41
gubiti,izgubiti,iz,50,114
stati,ustati,u,22,9
tražiti,zatražiti,za,103,26
glasiti,proglasiti,pro,18,169
dati,izdati,iz,232,39
štititi,zaštititi,za,20,12
voditi,izvoditi,iz,240,63
graditi,izgraditi,iz,45,28
dati,zadati,za,232,8
vršiti,izvršiti,iz,113,119
voditi,prevoditi,pre,240,21
davati,dodavati,do,116,16
raditi,izraditi,iz,305,12
činiti,učiniti,u,735,67
širiti,proširiti,pro,98,109
misliti,zamisliti,za,62,11
stići,postići,po,93,37
prinositi,doprinositi,do,6,47
rasti,izrasti,iz,52,14
nositi,donositi,do,138,77
početi,započeti,za,450,135
slediti,uslediti,u,70,53
smatrati,posmatrati,po,640,56
moći,pomoći,po,1619,81
lediti,slediti,s,10,70
voditi,dovoditi,do,240,63
porediti,uporediti,u,15,17
naći,pronaći,pro,166,74
tvrditi,potvrditi,po,112,36
prineti,doprineti,do,5,81
pisati,propisati,pro,171,5
stići,dostići,do,93,44
zvati,nazvati,na,150,57
deliti,podeliti,po,147,80
ceniti,proceniti,pro,6,10
kretati,okretati,o,193,19
voditi,uvoditi,u,240,28
suditi,osuditi,o,21,16
stupati,zastupati,za,10,23
davati,predavati,pre,116,51
javiti,prijaviti,pri,27,14
gledati,ogledati,o,47,47
pisati,pripisati,pri,171,5
biti,pobiti,po,49796,10
baciti,izbaciti,iz,21,7
udariti,sudariti,s,12,5
stignuti,dostignuti,do,5,7
duvati,oduvati,o,22,5
krenuti,pokrenuti,po,62,51
vratiti,povratiti,po,156,32
stajati,prestajati,pre,54,10
rasti,narasti,na,52,8
trošiti,potrošiti,po,12,6
činiti,načiniti,na,735,20
rasti,prerasti,pre,52,31
značiti,označiti,o,261,49
ticati,uticati,u,43,145
stizati,postizati,po,33,24
pasti,raspasti,ras,59,28
primiti,poprimiti,po,50,9
nositi,unositi,u,138,17
davati,prodavati,pro,116,8
ticati,sticati,s,43,22
graničiti,ograničiti,o,163,13
voditi,svoditi,s,240,15
pomenuti,spomenuti,s,21,14
kupiti,prikupiti,pri,21,18
izlaziti,proizlaziti,pro,105,7
vladati,prevladati,pre,181,6
polagati,raspolagati,ras,17,29
živjeti,doživjeti,do,21,8
pomenuti,napomenuti,na,21,17
živeti,oživeti,o,569,9
dati,nadati,na,232,13
krenuti,okrenuti,o,62,23
dodati,pridodati,pri,28,5
