base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
voziti,izvoziti,iz,451,88
biti,dobiti,do,1578206,13165
aviti,praviti,pr,94,1043
vezati,povezati,po,156,386
vršiti,završiti,za,3237,7234
čestvovati,učestvovati,u,5,14266
početi,započeti,za,11380,3181
stavljati,nastavljati,na,681,1349
ložiti,položiti,po,21,393
stati,postati,po,529,16911
stati,ostati,o,529,5756
baviti,obaviti,o,4804,470
davati,predavati,pre,2641,994
vesti,izvesti,iz,86,1241
prineti,doprineti,do,48,924
pisati,napisati,na,3178,3150
izvoditi,proizvoditi,pro,1373,2673
oditi,voditi,v,10,6553
kositi,prkositi,pr,74,30
pisati,opisati,o,3178,1239
uditi,suditi,s,33,310
vesti,dovesti,do,86,3443
hvatiti,prihvatiti,pri,22,1694
stojati,postojati,po,22,14385
likovati,razlikovati,raz,6,2266
dizati,podizati,po,35,377
stizati,dostizati,do,756,535
većati,povećati,po,5,955
tvoriti,otvoriti,o,32,1281
držati,izdržati,iz,2290,230
užiti,pružiti,pr,11,744
dati,nadati,na,6071,454
puštati,napuštati,na,155,854
puštati,spuštati,s,155,479
atiti,pratiti,pr,5,2472
ticati,poticati,po,624,2542
zvati,nazvati,na,2737,886
stati,nastati,na,529,4925
krenuti,pokrenuti,po,2467,1379
tvoriti,stvoriti,s,32,1454
hvatati,zahvatati,za,118,441
padati,spadati,s,571,1800
stajati,nastajati,na,1522,2535
bijati,dobijati,do,7,3850
svojiti,osvojiti,o,7,12984
staviti,nastaviti,na,777,3917
stojati,nastojati,na,22,686
tvrditi,potvrditi,po,2007,913
kazivati,dokazivati,do,23,216
staviti,postaviti,po,777,4836
stići,postići,po,2615,3455
pustiti,napustiti,na,202,2811
dirnuti,dodirnuti,do,9,62
znati,priznati,pri,2862,1249
kršiti,prekršiti,pre,86,85
miti,primiti,pri,12,1373
minirati,dominirati,do,36,912
slati,poslati,po,1245,2441
davati,dodavati,do,2641,486
tajati,stajati,s,7,1522
dati,zadati,za,6071,142
služiti,poslužiti,po,3662,510
javiti,pojaviti,po,979,2815
dati,prodati,pro,6071,460
polagati,raspolagati,ras,309,435
ideti,videti,v,33,3438
stanoviti,ustanoviti,u,36,355
stupiti,pristupiti,pri,1114,725
kazivati,pokazivati,po,23,1852
nositi,iznositi,iz,4747,49784
poznati,prepoznati,pre,59,348
porediti,uporediti,u,154,184
računati,izračunati,iz,593,303
obilaziti,zaobilaziti,za,176,42
tvrditi,utvrditi,u,2007,972
stajati,ostajati,o,1522,1752
vesti,povesti,po,86,630
stizati,postizati,po,756,1004
uzeti,preuzeti,pre,615,2431
ređati,uređati,u,28,11
dešavati,podešavati,po,862,95
vesti,svesti,s,86,164
vaditi,izvaditi,iz,111,106
puniti,napuniti,na,45,156
kazivati,prikazivati,pri,23,1418
pominjati,napominjati,na,2387,65
kazati,pokazati,po,2140,2856
ključati,zaključati,za,10,28
bići,dobići,do,8,193
beležiti,zabeležiti,za,746,798
gubiti,izgubiti,iz,1049,2930
nositi,nanositi,na,4747,196
spevati,dospevati,do,21,118
bijati,ubijati,u,7,565
naći,pronaći,pro,3640,1501
visiti,zavisiti,za,22,1628
ticati,uticati,u,624,2384
uzimati,zauzimati,za,1125,1618
laviti,slaviti,s,14,655
dati,izdati,iz,6071,1755
krivati,prekrivati,pre,10,135
sušiti,presušiti,pre,96,46
padati,pripadati,pri,571,10056
stati,prestati,pre,529,1094
pati,dopati,do,267,69
baviti,nabaviti,na,4804,167
ženiti,oženiti,o,113,1312
voditi,navoditi,na,6553,2273
moći,pomoći,po,47863,2047
seći,poseći,po,101,66
dizati,izdizati,iz,35,1228
voditi,izvoditi,iz,6553,1373
širiti,proširiti,pro,931,1033
hoditi,pohoditi,po,12,13
pasti,pripasti,pri,1284,627
steti,posteti,po,35,11
hvatiti,zahvatiti,za,22,303
dobiti,zadobiti,za,13165,199
voditi,dovoditi,do,6553,2023
dobijati,zadobijati,za,3850,35
gađati,pogađati,po,120,163
dobivati,zadobivati,za,91,33
setiti,osetiti,o,47,305
stavljati,ostavljati,o,681,471
motriti,razmotriti,raz,15,152
vršiti,izvršiti,iz,3237,2427
stajati,postajati,po,1522,4112
deliti,podeliti,po,2689,949
kretati,pokretati,po,2208,692
kazivati,ukazivati,u,23,1157
isticati,proisticati,pro,1283,95
praviti,popraviti,po,1043,300
prečiti,sprečiti,s,8,1422
živeti,preživeti,pre,85923,895
uzrokovati,prouzrokovati,pro,972,340
dati,dodati,do,6071,818
mirati,umirati,u,15,681
gledati,izgledati,iz,780,558
držati,podržati,po,2290,706
ginuti,poginuti,po,17,2198
uzeti,zauzeti,za,615,3459
nositi,prinositi,pri,4747,79
sećati,osećati,o,44,753
viti,razviti,raz,21,2591
goditi,dogoditi,do,5,995
vesti,provesti,pro,86,2296
pisati,upisati,u,3178,949
biti,probiti,pro,1578206,413
stupiti,nastupiti,na,1114,1032
mati,primati,pri,8,803
vrediti,povrediti,po,111,208
držati,zadržati,za,2290,1737
živeti,doživeti,do,85923,1334
ratiti,vratiti,v,5,5853
vratiti,povratiti,po,5853,649
oći,proći,pr,9,1745
goditi,pogoditi,po,5,473
značiti,označiti,o,3805,566
pasti,raspasti,ras,1284,240
jačati,pojačati,po,137,399
slediti,proslediti,pro,1385,65
stignuti,postignuti,po,240,353
krivati,prikrivati,pri,10,58
nositi,donositi,do,4747,1364
krivati,skrivati,s,10,170
padati,napadati,na,571,591
varati,zavarati,za,73,23
krivati,pokrivati,po,10,844
stavljati,postavljati,po,681,1133
vući,privući,pri,80,533
voditi,uvoditi,u,6553,409
kriti,prikriti,pri,359,41
raditi,uraditi,u,11858,1090
teći,poteći,po,936,218
moći,domoći,do,47863,131
broditi,prebroditi,pre,6,38
umeti,razumeti,raz,108,404
ticati,proticati,pro,624,1506
teći,steći,s,936,1839
izaći,proizaći,pro,818,63
rastati,izrastati,iz,211,66
nositi,unositi,u,4747,267
viriti,izviriti,iz,5,487
stupati,nastupati,na,185,3522
