base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
tajati,rastajati,ras,1,8
biti,dobiti,do,512055,4970
uzrokovati,prouzrokovati,pro,265,128
vući,povući,po,35,771
stati,postati,po,242,6573
stojati,postojati,po,12,6746
miti,primiti,pri,4,560
miti,premiti,pre,4,3
staviti,ostaviti,o,386,663
čati,pričati,pri,19,218
gubiti,izgubiti,iz,447,1216
matrati,smatrati,s,1,3664
padati,pripadati,pri,293,2860
pisati,opisati,o,1679,740
vesti,navesti,na,28,354
mestiti,smestiti,s,1,102
uočavati,suočavati,s,130,134
tvoriti,stvoriti,s,10,872
uočiti,suočiti,s,171,129
gledati,ogledati,o,405,385
trpeti,pretrpeti,pre,88,232
biti,ubiti,u,512055,878
bojati,obojati,o,57,56
kretati,okretati,o,989,139
sveti,osveti,o,3,39
nositi,donositi,do,2013,584
slati,doslati,do,451,1
oditi,voditi,v,6,2580
ticati,sticati,s,335,209
sećati,osećati,o,22,321
stajati,postajati,po,688,1653
moći,pomoći,po,25282,987
širiti,proširiti,pro,464,594
počinjati,započinjati,za,1682,523
trčeti,protrčeti,pro,17,1
umeti,razumeti,raz,49,348
kidati,prekidati,pre,10,101
značavati,označavati,o,1,755
krivati,skrivati,s,7,80
spevati,uspevati,u,11,507
beležiti,obeležiti,o,293,179
javiti,izjaviti,iz,425,507
goditi,pogoditi,po,7,174
stavljati,prestavljati,pre,324,32
vesti,provesti,pro,28,1110
poznavati,upoznavati,u,199,203
viti,razviti,raz,7,1011
staviti,nastaviti,na,386,2013
javiti,pojaviti,po,425,1253
ratiti,vratiti,v,3,2436
stati,ostati,o,242,2351
dizati,podizati,po,25,187
puštati,napuštati,na,53,385
dići,podići,po,13,640
ložiti,uložiti,u,8,80
likovati,razlikovati,raz,3,1172
lediti,slediti,s,12,557
kazivati,prikazivati,pri,8,734
vršiti,završiti,za,1189,4029
kušati,pokušati,po,1,893
visiti,zavisiti,za,3,938
naći,pronaći,pro,1694,800
kazati,pokazati,po,1150,1354
veriti,proveriti,pro,13,128
mogućavati,omogućavati,o,1,1467
motriti,razmotriti,raz,12,140
uzimati,zauzimati,za,571,743
kretati,pokretati,po,989,405
dobriti,odobriti,o,6,124
nesiti,unesiti,u,4,11
sloboditi,osloboditi,o,1,341
početi,započeti,za,4562,1248
čestvovati,učestvovati,u,1,5136
naprediti,unaprediti,u,1,140
tvrditi,utvrditi,u,1205,457
laziti,prolaziti,pro,1,763
živeti,preživeti,pre,4209,400
vršiti,izvršiti,iz,1189,974
hvatiti,zahvatiti,za,10,132
mirati,umirati,u,7,301
stajati,ostajati,o,688,855
voditi,izvoditi,iz,2580,667
većati,povećati,po,2,411
boleti,oboleti,o,1,51
lepiti,slepiti,s,3,17
vesti,dovesti,do,28,1657
tvoriti,otvoriti,o,10,667
nositi,nanositi,na,2013,110
vesti,uvesti,u,28,247
