глагол,частота
biti,530772
imati,23172
nalaziti,21532
moći,17488
živeti,16789
iznositi,13836
pripadati,12150
prostirati,10735
hteti,7996
postojati,7610
postati,7381
koristiti,6563
dobiti,5368
smatrati,5071
početi,4746
činiti,4597
doći,4404
predstavljati,4279
morati,3716
raditi,3657
trebati,3585
nazivati,2997
govoriti,2811
voditi,2795
ostati,2764
dolaziti,2688
dati,2670
nastati,2603
vratiti,2273
nemati,2254
učestvovati,2232
dovesti,2192
uspeti,2080
videti,2070
značiti,2023
sastojati,2003
sadržati,1904
osvojiti,1904
baviti,1887
ući,1873
pisati,1866
naći,1845
postajati,1824
umreti,1755
dobijati,1743
nositi,1701
počinjati,1671
završiti,1668
nastaviti,1652
napisati,1579
znati,1577
obuhvatati,1559
trajati,1556
javljati,1530
razviti,1480
poticati,1480
služiti,1476
objaviti,1458
igrati,1451
zvati,1428
reći,1401
želeti,1395
preći,1375
pokazati,1347
tražiti,1342
osnovati,1339
zauzeti,1322
izgubiti,1319
vršiti,1297
pojaviti,1296
formirati,1283
davati,1282
stići,1275
verovati,1274
razlikovati,1266
ići,1260
tvrditi,1258
držati,1256
krenuti,1251
poslati,1247
odnositi,1243
uticati,1232
vladati,1228
kazati,1223
otići,1223
doneti,1214
kretati,1201
napustiti,1197
započeti,1187
održavati,1185
pokušati,1175
odlučiti,1158
izvršiti,1131
preuzeti,1101
deliti,1100
nastajati,1080
spadati,1076
stvoriti,1073
razvijati,1061
pominjati,1056
otkriti,1055
povući,1038
prihvatiti,1031
navoditi,1025
postaviti,1020
organizovati,1014
stvarati,1013
označavati,988
uključivati,984
menjati,968
pokazivati,959
učiniti,956
napraviti,954
predati,950
pobediti,949
ostaviti,933
proglasiti,919
delovati,908
ubiti,907
boriti,891
napasti,879
izazvati,873
zauzimati,869
pratiti,866
zadržati,865
odbiti,865
steći,857
prelaziti,855
pojavljivati,843
pomoći,836
omogućiti,835
održati,825
ostajati,811
pružati,805
provesti,796
posedovati,789
narediti,780
stajati,776
opisivati,770
primiti,767
zahtevati,763
ulaziti,759
upravljati,756
zavisiti,753
priznati,752
podići,748
slediti,746
postići,744
proširiti,738
poginuti,724
dovoditi,723
prolaziti,717
isticati,713
čuvati,707
izdati,706
misliti,703
omogućavati,700
odlaziti,697
proći,695
pokušavati,693
obavljati,686
izlaziti,685
pasti,682
ostvariti,681
pomagati,676
uspostaviti,674
odgovarati,673
ležati,664
vraćati,659
definisati,658
promeniti,657
graditi,647
donositi,638
odvijati,635
doživeti,622
proizvoditi,620
podržavati,606
podeliti,602
sprečiti,600
odrediti,595
uzimati,586
zameniti,586
iskoristiti,586
izvoditi,584
osloboditi,583
širiti,582
birati,581
pridružiti,577
otvoriti,574
odigrati,572
pretpostavljati,571
potpisati,560
oženiti,557
spominjati,557
doprineti,555
povezivati,551
određivati,550
utvrditi,542
dominirati,542
nazvati,540
braniti,539
uništiti,538
ukazivati,537
gubiti,536
stupiti,536
završavati,532
dogoditi,530
uslediti,529
naslediti,525
pronaći,525
nastavljati,522
pokrenuti,522
izvesti,519
povećati,514
slati,512
praviti,512
učiti,511
podrazumevati,510
predvoditi,506
prikazivati,505
opisati,502
izbiti,500
roditi,494
desiti,493
prenositi,491
staviti,488
uputiti,488
prestati,488
graničiti,488
voleti,483
izazivati,475
predložiti,466
upoznati,466
upotrebljavati,464
bivati,462
važiti,461
postavljati,459
predstaviti,459
stradati,457
otpočeti,456
slaviti,451
boraviti,450
objavljivati,449
zaustaviti,448
preminuti,445
izjaviti,445
rešiti,444
naseljavati,442
izgraditi,440
obezbediti,435
kontrolisati,434
primati,434
predavati,430
preseliti,429
gledati,428
povećavati,428
putovati,425
odlikovati,425
javiti,424
očekivati,423
nastojati,422
rasti,421
pozvati,418
preneti,417
video,417
čuti,416
izabrati,408
varirati,406
smanjiti,405
imenovati,405
smeti,404
obrazovati,404
datirati,402
nastupati,402
shvatiti,401
istaći,400
naseliti,399
povratiti,398
sačuvati,393
pozivati,393
težiti,393
studirati,393
karakterisati,392
izaći,392
ticati,390
padati,389
posvetiti,387
osvajati,384
osećati,383
preživeti,379
vezovati,377
dešavati,376
zatražiti,376
potvrditi,376
kupiti,373
napuštati,370
posetiti,370
pružiti,369
zalagati,369
povlačiti,368
prisustvovati,367
svirati,367
pretrpeti,366
uzrokovati,365
pretvoriti,363
zaključiti,363
proizvesti,361
sačinjavati,360
pobeći,359
napredovati,357
spajati,356
podržati,353
smanjivati,353
uspevati,353
izbeći,353
proučavati,352
navesti,351
dostići,350
svedočiti,350
odbijati,347
uraditi,347
