глагол,частота
biti,555207
imati,30759
moći,17508
nalaziti,15075
živeti,10303
hteti,7495
postojati,7485
postati,7235
koristiti,6629
iznositi,6473
dobiti,6434
igrati,5863
raditi,5123
početi,4578
predstavljati,4513
osvojiti,4104
učestvovati,3985
smatrati,3933
doći,3828
činiti,3673
morati,3355
voditi,3223
pripadati,3149
trebati,3104
završiti,2803
ostati,2651
dati,2567
nazivati,2512
vratiti,2480
dolaziti,2346
nastati,2300
govoriti,2293
nemati,2277
nositi,2224
uspeti,2128
baviti,2001
postajati,1962
dobijati,1919
pisati,1905
naći,1895
videti,1882
značiti,1867
umreti,1817
počinjati,1787
sastojati,1776
sadržati,1760
služiti,1746
nastaviti,1691
ući,1688
napisati,1686
postići,1651
zvati,1633
javljati,1611
preći,1586
objaviti,1544
znati,1517
odigrati,1505
otići,1495
izgubiti,1487
poticati,1476
pobediti,1442
pojaviti,1432
dovesti,1419
ići,1410
odnositi,1406
vršiti,1406
napustiti,1403
pojavljivati,1387
želeti,1380
zauzeti,1373
obuhvatati,1349
trajati,1345
pominjati,1312
reći,1304
stići,1293
osnovati,1285
davati,1281
režirati,1273
odlaziti,1255
kazati,1196
nastajati,1190
započeti,1183
tražiti,1164
pokazati,1148
organizovati,1131
doneti,1111
kretati,1109
napraviti,1095
razviti,1092
pratiti,1092
deliti,1084
vraćati,1079
odlučiti,1076
ubiti,1073
nastupati,1068
razlikovati,1060
poginuti,1059
održavati,1042
ostvariti,1032
krenuti,1028
izdati,1023
preuzeti,1020
tvrditi,1019
ulaziti,992
uticati,992
formirati,991
ostajati,989
prolaziti,988
otkriti,985
držati,979
spadati,972
prelaziti,963
provesti,957
označavati,951
poslati,939
razvijati,938
izvršiti,931
menjati,917
postaviti,910
stvarati,901
pokušati,899
pružati,893
prihvatiti,882
uključivati,878
povući,874
boriti,865
pokazivati,851
pokušavati,842
izlaziti,840
posedovati,828
vladati,818
proći,817
održati,813
zauzimati,811
obavljati,805
pomoći,796
verovati,791
steći,787
navoditi,747
ostaviti,746
izvoditi,739
stvoriti,733
delovati,733
završavati,733
podići,728
omogućavati,727
zadržati,725
snimiti,718
učiniti,712
odbiti,709
osvajati,708
odgovarati,705
promeniti,703
zahtevati,703
potpisati,687
graditi,686
izazvati,686
izjaviti,685
predati,684
primiti,683
napasti,680
stajati,671
prikazivati,666
omogućiti,654
zavisiti,644
ležati,643
isticati,642
upoznati,641
slediti,641
gubiti,635
nastavljati,635
dovoditi,632
čuvati,624
preminuti,622
glumiti,618
pronaći,617
opisivati,612
studirati,612
voleti,609
diplomirati,608
zameniti,602
takmičiti,602
povezivati,597
doživeti,596
preseliti,590
otvoriti,589
izvesti,588
prostirati,588
oženiti,587
pomagati,586
donositi,584
napuštati,584
objavljivati,582
uzimati,580
proglasiti,579
proizvoditi,578
nastupiti,576
pasti,573
uspevati,566
definisati,557
ukazivati,554
dostići,553
pridružiti,546
misliti,545
odvijati,543
uništiti,538
pohađati,534
odrediti,533
bivati,530
istaći,528
roditi,521
pretpostavljati,520
odlučivati,515
sprečiti,513
praviti,509
stizati,508
postizati,507
važiti,505
preživeti,505
braniti,504
debitovati,503
uraditi,495
učiti,493
svirati,491
predstaviti,491
podržavati,491
priznati,490
proširiti,489
upotrebljavati,489
rasti,488
prestati,487
kupiti,487
predvoditi,485
pevati,485
podrazumevati,483
pokrenuti,481
plasirati,481
otkrivati,479
upravljati,478
naseljavati,476
uslediti,475
opisati,474
određivati,472
birati,467
postavljati,466
predavati,466
osloboditi,461
stupiti,461
obezbediti,461
boraviti,460
desiti,458
narediti,456
upisati,454
prenositi,454
naslediti,454
slati,444
nazvati,443
proticati,441
doprineti,441
video,439
živjeti,438
širiti,437
sarađivati,436
očekivati,433
teći,433
iskoristiti,432
spominjati,430
povećavati,425
putovati,422
čuti,421
odlikovati,421
izaći,417
obrazovati,415
tumačiti,414
dešavati,414
otpočeti,411
izazivati,411
podeliti,403
dogoditi,401
stradati,400
izgraditi,399
povećati,396
uputiti,396
izabrati,388
dodati,388
poraziti,385
saznati,383
karakterisati,379
dodeljivati,378
javiti,378
naseliti,378
slaviti,377
udasti,373
dominirati,372
smanjiti,371
primenjivati,368
potvrditi,366
uspostaviti,366
pobeći,365
snimati,360
izgledati,359
posvetiti,356
doseliti,356
preneti,355
ulivati,355
smanjivati,355
prisustvovati,354
brojati,354
zasnivati,353
padati,352
primati,351
posetiti,350
utvrditi,350
posmatrati,349
započinjati,349
izdavati,347
zaustaviti,346
izbiti,346
kontrolisati,343
izdvajati,342
pozvati,341
provoditi,340
staviti,340
težiti,340
sretati,337
spajati,336
ubijati,336
predložiti,335
datirati,335
zabeležiti,335
emitovati,333
preuzimati,332
izašati,332
otvarati,332
dokazati,331
komandovati,330
uzeti,330
beležiti,329
osećati,327
pripasti,327
polaziti,323
uključiti,321
izbeći,321
gledati,321
pružiti,318
pobeđivati,317
shvatiti,312
pretvoriti,309
obezbeđivati,309
napredovati,308
podsećati,306
odbijati,304
ostvarivati,303
imenovati,303
sačinjavati,303
odrasti,303
podneti,302
rešiti,301
sačuvati,301
planirati,301
priključiti,300
napadati,300
nuditi,299
prekinuti,299
kvalifikovati,299
ogledati,298
zaključiti,298
dozvoliti,298
prebaciti,297
povratiti,297
graničiti,296
smeti,296
pokrivati,294
pogoditi,294
povlačiti,294
dostizati,294
povesti,293
vezovati,293
sagraditi,292
umrlati,290
pričati,288
štititi,286
nastojati,285
umirati,285
okupljati,282
pristupiti,282
sprovoditi,281
spasiti,280
pobegnuti,278
varirati,277
zatražiti,276
igrasti,276
uzrokovati,276
prihvatati,276
voziti,276
stavljati,275
čekati,274
uzeo,273
naići,273
odvesti,273
navesti,271
odneti,270
izraziti,269
označiti,266
ticati,265
pozivati,264
uvesti,261
svedočiti,259
privući,258
pravi,258
odustati,256
ponuditi,255
okupiti,255
opadati,254
osnivati,254
usvojiti,254
primetiti,253
prodati,253
pokretati,253
okrenuti,252
plaćati,251
poznavati,251
pristati,250
podržati,249
ispasti,249
spuštati,249
bežati,248
dodeliti,247
odvajati,247
trenirati,247
dozvoljavati,245
proučavati,245
računati,245
sklopiti,244
pretrpeti,243
seliti,243
ispuniti,241
uveo,240
zarobiti,240
truditi,239
objašnjavati,239
uvoditi,239
pokloniti,236
ostavljati,236
uživati,236
savladati,236
baciti,235
zaraditi,234
naučiti,234
platiti,230
saznavati,227
sprovesti,227
proslaviti,226
proizvesti,226
poslužiti,226
upasti,226
školovati,223
zalagati,221
poštovati,221
stati,220
ploviti,219
potvrđivati,219
osigurati,219
zadržavati,218
obnoviti,218
nadati,216
odgovoriti,216
privlačiti,215
doživljavati,214
položiti,214
protezati,214
glasiti,213
rukovoditi,213
sastaviti,211
izlagati,211
shvatati,211
potpisivati,210
sticati,210
komponovati,209
nameravati,208
pronalaziti,208
oslanjati,207
okruživati,207
spasti,207
moliti,206
prevesti,206
ubrajati,205
zatvoriti,204
uhvatiti,204
meriti,204
izviriti,203
izdvojiti,203
sprečavati,202
naterati,200
pripisivati,200
objasniti,200
doktorirati,199
probiti,198
funkcionisati,197
odbraniti,197
zateći,197
zaposliti,197
procenjivati,196
obrađivati,196
priznavati,195
sam,195
uočiti,195
reagovati,195
polagati,195
propustiti,195
prijaviti,194
odbaciti,194
oslobađati,194
podizati,193
dospeti,193
prikazati,192
upotrebiti,192
uređivati,192
ustanoviti,191
obeležiti,191
bacati,191
obaviti,190
pogledati,190
pretiti,189
porasti,189
hraniti,189
posećivati,188
srušiti,187
odvojiti,186
pretvarati,185
obeležavati,185
izrađivati,185
izražavati,185
ojačati,184
prestajati,184
kritikovati,184
spremati,182
okretati,181
odrastati,180
brinuti,180
promovisati,180
zahvatati,179
pridruživati,177
udariti,177
izbaciti,176
predviđati,176
istraživati,175
ujediniti,175
odatliti,175
prouzrokovati,174
pogađati,174
raspolagati,174
izraditi,173
nastaniti,173
razumeti,173
najaviti,173
zamenjivati,173
smestiti,172
uništavati,172
admirati,172
ponavljati,171
upoznavati,171
uhapsiti,170
sastati,170
okončati,169
zastupati,169
povezati,169
upućivati,169
identifikovati,168
spavati,168
venčati,167
doprinositi,167
obratiti,167
slagati,167
nailaziti,167
uplovljavati,167
oboriti,166
približiti,163
nedostajati,163
kriti,163
predlagati,163
suprotstaviti,161
ličiti,161
bazirati,160
čitati,160
preduzeti,159
izneti,159
prići,158
slušati,158
pomenuti,157
poći,157
postignuti,156
ispaljivati,156
projektovati,154
dostignuti,154
udati,154
ukloniti,154
sakupljati,153
izboriti,153
osetiti,152
paliti,152
nestati,149
rezultovati,149
odobriti,149
ukazati,149
preporučivati,149
mešati,148
zabraniti,147
čiti,147
prepoznati,147
raspasti,147
odreći,146
pripremiti,146
uzdizati,145
prethoditi,145
prevoditi,145
pripremati,145
izvršavati,143
upisivati,143
osuditi,142
zatvarati,142
korist,142
ponoviti,142
dodavati,142
nastanjivati,142
ponašati,142
iskrcati,142
ispasiti,142
pretpostaviti,140
okupirati,140
realizovati,140
prerasti,139
izbegavati,138
gostovati,137
producirati,137
omogućivati,137
dokazivati,137
poboljšati,137
podnositi,137
glasati,137
ubediti,136
skupljati,136
