base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
biti,dobiti,do,555207,6434
pustiti,popustiti,po,114,53
pisati,upisati,u,1905,454
stati,ostati,o,220,2651
voditi,izvoditi,iz,3223,739
javiti,pojaviti,po,378,1432
seliti,preseliti,pre,243,590
javiti,prijaviti,pri,378,194
kazivati,prikazivati,pri,13,666
stići,postići,po,1293,1651
stati,postati,po,220,7235
glasiti,proglasiti,pro,213,579
slediti,uslediti,u,641,475
deliti,podeliti,po,1084,403
kloniti,pokloniti,po,12,236
raditi,zaraditi,za,5123,234
stupiti,nastupiti,na,461,576
ideti,videti,v,22,1882
plaviti,preplaviti,pre,28,10
družiti,pridružiti,pri,82,546
poznati,upoznati,u,57,641
vesti,dovesti,do,32,1419
tati,rastati,ras,10,120
javiti,izjaviti,iz,378,685
moći,pomoći,po,17508,796
broditi,prebroditi,pre,11,26
vesti,provesti,pro,32,957
vesti,razvesti,raz,32,133
tvrditi,potvrditi,po,1019,366
setiti,posetiti,po,26,350
nositi,donositi,do,2224,584
raditi,izraditi,iz,5123,173
stati,nastati,na,220,2300
ticati,poticati,po,265,1476
početi,započeti,za,4578,1183
hvatiti,prihvatiti,pri,12,882
dati,izdati,iz,2567,1023
držati,zadržati,za,979,725
ženiti,oženiti,o,81,587
vršiti,završiti,za,1406,2803
probati,oprobati,o,48,36
puštati,napuštati,na,104,584
oditi,voditi,v,5,3223
kazati,pokazati,po,1196,1148
zvati,pozvati,po,1633,341
stajati,pristajati,pri,671,130
sećati,osećati,o,24,327
slaviti,proslaviti,pro,377,226
znati,priznati,pri,1517,490
svetiti,posvetiti,po,13,356
roditi,poroditi,po,521,18
stignuti,postignuti,po,108,156
kriti,pokriti,po,163,43
deliti,dodeliti,do,1084,247
ginuti,poginuti,po,13,1059
praviti,napraviti,na,509,1095
staviti,postaviti,po,340,910
terati,proterati,pro,50,114
uzeti,preuzeti,pre,330,1020
buniti,pobuniti,po,20,102
dobiti,pridobiti,pri,6434,52
koriti,pokoriti,po,8,112
stupiti,postupiti,po,461,22
krenuti,okrenuti,o,1028,252
tvoriti,stvoriti,s,26,733
jačati,ojačati,o,53,184
gubiti,izgubiti,iz,635,1487
gušiti,ugušiti,u,22,98
pasti,pripasti,pri,573,327
govoriti,dogovoriti,do,2293,109
živeti,doživeti,do,10303,596
uzeti,zauzeti,za,330,1373
pasti,napasti,na,573,680
pljačkati,opljačkati,o,47,124
veo,uveo,u,22,240
padati,spadati,s,352,972
sporiti,osporiti,o,19,25
tražiti,zatražiti,za,1164,276
motriti,razmotriti,raz,9,51
poručiti,preporučiti,pre,37,49
padati,pripadati,pri,352,3149
suditi,osuditi,o,89,142
stojati,postojati,po,11,7485
uzimati,zauzimati,za,580,811
kaziti,prikaziti,pri,5,6
kazati,prikazati,pri,1196,192
slikati,naslikati,na,45,92
kazivati,pokazivati,po,13,851
činiti,načiniti,na,3673,106
bližiti,približiti,pri,5,163
kretati,okretati,o,1109,181
slabiti,oslabiti,o,24,72
lagati,zalagati,za,13,221
pustiti,napustiti,na,114,1403
tučiti,potučiti,po,14,10
ceniti,proceniti,pro,40,71
vući,povući,po,33,874
staviti,nastaviti,na,340,1691
baciti,izbaciti,iz,235,176
hapsiti,pohapsiti,po,40,21
vući,privući,pri,33,258
kidati,prekidati,pre,14,134
slati,poslati,po,444,939
biti,probiti,pro,555207,198
biti,pobiti,po,555207,121
značiti,označiti,o,1867,266
stati,prestati,pre,220,487
ticati,proticati,pro,265,441
dešavati,podešavati,po,414,38
goniti,pogoniti,po,49,17
visiti,zavisiti,za,17,644
nuditi,ponuditi,po,299,255
stojati,nastojati,na,11,285
kupiti,skupiti,s,487,115
titi,pretiti,pre,5,189
lomiti,slomiti,s,49,65
braniti,zabraniti,za,504,147
pisati,napisati,na,1905,1686
hapsiti,uhapsiti,u,40,170
seliti,doseliti,do,243,356
zimati,uzimati,u,15,580
nositi,prenositi,pre,2224,454
tvoriti,pretvoriti,pre,26,309
čitati,pročitati,pro,160,108
minirati,dominirati,do,18,372
stanoviti,ustanoviti,u,28,191
baviti,obaviti,o,2001,190
paliti,spaliti,s,152,126
saditi,zasaditi,za,22,19
staviti,ostaviti,o,340,746
vesti,izvesti,iz,32,588
puniti,napuniti,na,26,65
stavljati,postavljati,po,275,466
rešiti,razrešiti,raz,301,33
pominjati,spominjati,s,1312,430
graditi,izgraditi,iz,686,399
slediti,naslediti,na,641,454
ići,naići,na,1410,273
naći,pronaći,pro,1895,617
brinuti,pobrinuti,po,180,21
davati,predavati,pre,1281,466
stupati,zastupati,za,103,169
rasti,prerasti,pre,488,139
kazati,dokazati,do,1196,331
dati,prodati,pro,2567,253
govoriti,ugovoriti,u,2293,36
rasti,narasti,na,488,89
aviti,praviti,pr,50,509
seliti,naseliti,na,243,378
baciti,prebaciti,pre,235,297
stavljati,nastavljati,na,275,635
padati,opadati,o,352,254
stajati,prestajati,pre,671,184
stajati,postajati,po,671,1962
živiti,doživiti,do,9,38
gledati,ogledati,o,321,298
seti,preseti,pre,16,63
beležiti,obeležiti,o,329,191
voditi,provoditi,pro,3223,340
pasti,dopasti,do,573,9
pisati,opisati,o,1905,474
dati,dodati,do,2567,388
baviti,zabaviti,za,2001,16
veličati,uveličati,u,24,6
širiti,proširiti,pro,437,489
graditi,dograditi,do,686,12
dići,podići,po,16,728
noći,prenoći,pre,7,9
ljutiti,razljutiti,raz,20,12
slutiti,naslutiti,na,10,15
veriti,poveriti,po,27,88
stići,dostići,do,1293,553
krasiti,ukrasiti,u,24,39
urediti,preurediti,pre,80,14
misliti,zamisliti,za,545,71
prinositi,doprinositi,do,43,167
vezivati,povezivati,po,30,597
stavljati,ostavljati,o,275,236
dati,nadati,na,2567,216
bratiti,obratiti,o,10,167
vezati,povezati,po,58,169
klanjati,sklanjati,s,12,25
činiti,učiniti,u,3673,712
ticati,uticati,u,265,992
kretati,pokretati,po,1109,253
izvesti,proizvesti,pro,588,226
trebati,zatrebati,za,3104,10
topiti,pretopiti,pre,41,8
nositi,iznositi,iz,2224,6473
puštati,raspuštati,ras,104,12
tvoriti,zatvoriti,za,26,204
kupiti,okupiti,o,487,255
ložiti,položiti,po,6,214
ići,razići,raz,1410,64
terati,naterati,na,50,200
voditi,dovoditi,do,3223,632
kvariti,pokvariti,po,21,32
ložiti,složiti,s,6,129
služiti,poslužiti,po,1746,226
voditi,navoditi,na,3223,747
očiti,uočiti,u,17,195
izvoditi,proizvoditi,pro,739,578
obići,zaobići,za,88,23
kazivati,ukazivati,u,13,554
stati,zastati,za,220,18
umeti,izumeti,iz,48,46
setiti,osetiti,o,26,152
lagati,slagati,s,13,167
stignuti,dostignuti,do,108,154
ložiti,uložiti,u,6,80
stati,pristati,pri,220,250
dejstvovati,izdejstvovati,iz,130,54
davati,pridavati,pri,1281,40
raditi,uraditi,u,5123,495
učiti,vučiti,v,493,51
primiti,poprimiti,po,683,42
lagati,razlagati,raz,13,10
pasti,upasti,u,573,226
graničiti,ograničiti,o,296,71
kazivati,dokazivati,do,13,137
prineti,doprineti,do,17,441
stajati,ostajati,o,671,989
veriti,proveriti,pro,27,57
smatrati,posmatrati,po,3933,349
lediti,slediti,s,20,641
ljubiti,zaljubiti,za,27,119
poznavati,upoznavati,u,251,171
jesti,pojesti,po,124,54
vesti,uvesti,u,32,261
bazirati,obazirati,o,160,12
učiti,naučiti,na,493,234
rušiti,srušiti,s,72,187
uzimati,preuzimati,pre,580,332
teći,zateći,za,433,197
kopati,dokopati,do,18,18
boraviti,zaboraviti,za,460,94
vršiti,izvršiti,iz,1406,931
živeti,preživeti,pre,10303,505
ticati,zaticati,za,265,36
ostati,zaostati,za,2651,41
nalaziti,pronalaziti,pro,15075,208
dati,predati,pre,2567,684
kazati,skazati,s,1196,21
kupiti,prikupiti,pri,487,110
miti,primiti,pri,5,683
davati,prodavati,pro,1281,123
stupati,nastupati,na,103,1068
trpeti,pretrpeti,pre,114,243
pisati,zapisati,za,1905,122
seti,naseti,na,16,61
pasti,spasti,s,573,207
teći,steći,s,433,787
mešati,umešati,u,148,55
voditi,prevoditi,pre,3223,145
lagati,izlagati,iz,13,211
ostajati,izostajati,iz,989,12
pustiti,prepustiti,pre,114,89
biti,ubiti,u,555207,1073
štedeti,poštedeti,po,18,17
biti,izbiti,iz,555207,346
vesti,povesti,po,32,293
visiti,svisiti,s,17,9
umrliti,izumrliti,iz,19,31
poznati,prepoznati,pre,57,147
čiti,učiti,u,147,493
goreti,izgoreti,iz,18,89
slivati,poslivati,po,55,40
pasti,raspasti,ras,573,147
stajati,nastajati,na,671,1190
puniti,dopuniti,do,26,29
tvoriti,otvoriti,o,26,589
paliti,zapaliti,za,152,60
hvatati,zahvatati,za,77,179
vrediti,uvrediti,u,43,17
hvatiti,uhvatiti,u,12,204
gubiti,pogubiti,po,635,88
tvrditi,utvrditi,u,1019,350
hvatiti,shvatiti,s,12,312
pojiti,spojiti,s,8,74
lagati,polagati,po,13,195
dobriti,odobriti,o,6,149
družiti,udružiti,u,82,72
gledati,pogledati,po,321,190
kršiti,prekršiti,pre,36,40
teći,poteći,po,433,115
služiti,zaslužiti,za,1746,44
ceniti,oceniti,o,40,112
dobijati,zadobijati,za,1919,9
uditi,nauditi,na,13,12
tražiti,potražiti,po,1164,90
pasti,propasti,pro,573,130
ići,izići,iz,1410,17
počinjati,započinjati,za,1787,349
pustiti,spustiti,s,114,110
vladati,zavladati,za,818,62
usmeriti,preusmeriti,pre,72,18
ticati,sticati,s,265,210
crtati,nacrtati,na,50,32
loviti,uloviti,u,72,9
voziti,izvoziti,iz,276,60
nositi,unositi,u,2224,99
tati,otati,o,10,5
baviti,izbaviti,iz,2001,24
graniti,ograniti,o,5,10
siti,prisiti,pri,51,23
vršiti,dovršiti,do,1406,50
krenuti,pokrenuti,po,1028,481
laviti,slaviti,s,6,377
gledati,pregledati,pre,321,33
ići,prići,pr,1410,158
sveti,osveti,o,15,55
grabiti,ugrabiti,u,9,11
tumačiti,protumačiti,pro,414,37
naći,ponaći,po,1895,13
tati,stati,s,10,220
tući,pretući,pre,34,16
puštati,dopuštati,do,104,61
pretiti,zapretiti,za,189,57
harati,poharati,po,6,13
padati,napadati,na,352,300
rasti,porasti,po,488,189
premati,spremati,s,7,182
tući,potući,po,34,62
voziti,uvoziti,u,276,25
kretati,skretati,s,1109,77
cvetati,procvetati,pro,49,9
udarati,sudarati,s,38,15
dizati,izdizati,iz,18,130
računati,izračunati,iz,245,91
izlaziti,proizlaziti,pro,840,46
kružiti,okružiti,o,91,26
veriti,uveriti,u,27,73
držati,izdržati,iz,979,121
provesti,sprovesti,s,957,227
staviti,dostaviti,do,340,58
grupisati,pregrupisati,pre,37,9
puniti,popuniti,po,26,47
dirati,prodirati,pro,18,34
hvatiti,zahvatiti,za,12,131
zakoniti,ozakoniti,o,17,9
krstiti,pokrstiti,po,51,33
padati,upadati,u,352,37
dati,udati,u,2567,154
vratiti,povratiti,po,2480,297
letiti,uletiti,u,35,5
laći,slaći,s,7,21
hvatati,shvatati,s,77,211
seliti,useliti,u,243,44
umeti,razumeti,raz,48,173
spavati,prespavati,pre,168,9
variti,prevariti,pre,8,60
dizati,podizati,po,18,193
davati,zadavati,za,1281,32
miriti,pomiriti,po,16,64
svađati,posvađati,po,36,26
mirati,umirati,u,11,285
kidati,raskidati,ras,14,54
držati,podržati,po,979,249
beležiti,zabeležiti,za,329,335
bojati,obojati,o,80,61
imenovati,preimenovati,pre,303,24
držati,održati,o,979,813
zvati,prozvati,pro,1633,66
bilježiti,zabilježiti,za,17,18
piti,dopiti,do,91,20
boliti,oboliti,o,16,9
daviti,udaviti,u,7,31
udati,preudati,pre,154,12
govoriti,nagovoriti,na,2293,81
vrediti,povrediti,po,43,88
glaviti,zaglaviti,za,7,9
meriti,zameriti,za,204,25
piti,upiti,u,91,54
razgovarati,porazgovarati,po,116,7
uočiti,suočiti,s,195,98
spevati,uspevati,u,9,566
točiti,pretočiti,pre,11,10
poznavati,prepoznavati,pre,251,75
misliti,pomisliti,po,545,66
suditi,usuditi,u,89,34
pominjati,opominjati,o,1312,19
hvatati,prihvatati,pri,77,276
topiti,potopiti,po,41,118
davati,dodavati,do,1281,142
rastati,narastati,na,120,34
sreti,presreti,pre,76,27
javiti,najaviti,na,378,173
čati,pričati,pri,7,288
živeti,proživeti,pro,10303,16
diti,uditi,u,97,13
topasti,stopasti,s,6,28
smatrati,osmatrati,o,3933,10
porediti,uporediti,u,61,81
kupiti,pokupiti,po,487,53
gasiti,ugasiti,u,56,75
lečiti,izlečiti,iz,123,46
stajati,ustajati,u,671,17
rasti,orasti,o,488,75
pasti,zapasti,za,573,86
graditi,nagraditi,na,686,46
pustiti,dopustiti,do,114,76
pevati,zapevati,za,485,15
znati,poznati,po,1517,57
seći,poseći,po,47,49
kočiti,skočiti,s,11,78
čistiti,očistiti,o,12,46
praviti,popraviti,po,509,125
stići,pristići,pri,1293,68
pustiti,upustiti,u,114,36
čekati,dočekati,do,274,108
pozvati,opozvati,o,341,14
vući,izvući,iz,33,126
izašati,proizašati,pro,332,20
želeti,poželeti,po,1380,26
slušati,poslušati,po,158,38
nositi,nanositi,na,2224,119
disati,odisati,o,8,17
glasiti,naglasiti,na,213,87
meriti,pomeriti,po,204,64
roniti,zaroniti,za,24,19
sveti,posveti,po,15,49
štititi,zaštititi,za,286,107
ubijati,poubijati,po,336,20
ceniti,uceniti,u,40,8
titi,stiti,s,5,8
pomenuti,napomenuti,na,157,91
gledati,ugledati,u,321,111
vesti,navesti,na,32,271
ticati,oticati,o,265,52
klanjati,uklanjati,u,12,76
desiti,podesiti,po,458,29
kloniti,ukloniti,u,12,154
kidati,skidati,s,14,49
provoditi,sprovoditi,s,340,281
boliti,razboliti,raz,16,14
davati,izdavati,iz,1281,347
dati,odati,o,2567,62
kositi,pokositi,po,44,5
uditi,suditi,s,13,89
poznati,spoznati,s,57,37
poznavati,spoznavati,s,251,38
moći,domoći,do,17508,60
uzrokovati,prouzrokovati,pro,276,174
pevati,spevati,s,485,9
vesti,svesti,s,32,63
buditi,probuditi,pro,20,81
spasti,zaspasti,za,207,15
saditi,presaditi,pre,22,8
hvaliti,pohvaliti,po,54,97
bežati,razbežati,raz,248,17
baciti,ubaciti,u,235,88
zabaviti,pozabaviti,po,16,8
premati,pripremati,pri,7,145
graditi,ograditi,o,686,13
videti,svideti,s,1882,46
zvati,nazvati,na,1633,443
ginuti,izginuti,iz,13,32
maći,umaći,u,9,10
plivati,preplivati,pre,82,12
teći,priteći,pri,433,22
dodati,pridodati,pri,388,35
stupati,postupati,po,103,51
voditi,svoditi,s,3223,96
maći,promaći,pro,9,6
stupiti,pristupiti,pri,461,282
varati,prevarati,pre,33,8
baviti,pribaviti,pri,2001,28
kazati,ukazati,u,1196,149
nositi,snositi,s,2224,40
platiti,uplatiti,u,230,19
gađati,pogađati,po,43,174
značiti,naznačiti,na,1867,18
voditi,uvoditi,u,3223,239
biti,razbiti,raz,555207,99
raditi,razraditi,raz,5123,36
hvati,pohvati,po,40,12
lagati,nalagati,na,13,38
dobiti,zadobiti,za,6434,69
praviti,prepraviti,pre,509,16
voziti,dovoziti,do,276,14
ploviti,uploviti,u,219,35
ploviti,oploviti,o,219,14
leteti,sleteti,s,40,42
gasti,ugasti,u,25,20
moliti,zamoliti,za,206,87
trošiti,potrošiti,po,61,50
trošiti,utrošiti,u,61,8
ljutiti,naljutiti,na,20,24
okrenuti,preokrenuti,pre,252,17
vući,dovući,do,33,10
mamiti,namamiti,na,7,9
verovati,poverovati,po,791,21
točiti,zatočiti,za,11,5
daviti,zadaviti,za,7,8
stizati,postizati,po,508,507
isticati,proisticati,pro,642,37
videti,uvideti,u,1882,64
voziti,prevoziti,pre,276,116
tuki,potuki,po,6,6
lagati,ulagati,u,13,55
živeti,zaživeti,za,10303,33
ložiti,priložiti,pri,6,56
teći,proteći,pro,433,52
krenuti,skrenuti,s,1028,85
platiti,naplatiti,na,230,16
putovati,proputovati,pro,422,17
terati,oterati,o,50,61
smisliti,osmisliti,o,35,105
pomenuti,spomenuti,s,157,44
skočiti,preskočiti,pre,78,72
boriti,oboriti,o,865,166
oteti,preoteti,pre,61,42
polagati,raspolagati,ras,195,174
dužiti,produžiti,pro,13,123
premati,popremati,po,7,28
čuvati,očuvati,o,624,124
topiti,utopiti,u,41,37
pisati,pripisati,pri,1905,51
ovladavati,preovladavati,pre,10,43
granati,razgranati,raz,17,12
stizati,dostizati,do,508,294
smejati,nasmejati,na,9,14
plašiti,uplašiti,u,84,40
boditi,uboditi,u,14,7
puštati,spuštati,s,104,249
miriti,izmiriti,iz,16,27
rušiti,porušiti,po,72,57
rušiti,razrušiti,raz,72,18
stupati,ustupati,u,103,18
ostaviti,izostaviti,iz,746,21
šiti,ušiti,u,13,55
iditi,viditi,v,5,30
vesti,prevesti,pre,32,206
glasati,izglasati,iz,137,37
interesovati,zainteresovati,za,47,52
miriti,umiriti,u,16,14
pominjati,napominjati,na,1312,29
ložiti,naložiti,na,6,45
pitati,upitati,u,122,32
govoriti,izgovoriti,iz,2293,46
morati,primorati,pri,3355,102
marširati,umarširati,u,14,10
skratiti,uskratiti,u,26,15
pasti,opasti,o,573,106
blažiti,ublažiti,u,23,42
