base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
atiti,pratiti,pr,5,2472
aviti,praviti,pr,278,3511
aviti,saviti,s,278,93
bacati,pobacati,po,483,17
baciti,dobaciti,do,508,9
baciti,izbaciti,iz,1615,1435
baciti,nabaciti,na,794,13
baciti,pobaciti,po,794,12
baciti,prebaciti,pre,1615,1904
baciti,ubaciti,u,1615,631
baciti,zabaciti,za,714,13
balansirati,izbalansirati,iz,28,5
barati,obarati,o,10,75
bati,probati,pro,5,77
bati,ubati,u,5,20
baviti,dobaviti,do,8549,17
baviti,izbaviti,iz,14816,146
baviti,nabaviti,na,14816,577
baviti,obaviti,o,14816,1418
baviti,pribaviti,pri,14816,201
baviti,zabaviti,za,14816,108
bazirati,obazirati,o,910,90
beležiti,obeležiti,o,2140,1452
beležiti,pribeležiti,pri,1003,10
beležiti,ubeležiti,u,746,8
beležiti,zabeležiti,za,2140,2536
beriti,uberiti,u,21,10
besneti,pobesneti,po,77,74
besneti,razbesneti,raz,86,119
bežati,razbežati,raz,1654,127
bijati,dobijati,do,14,5593
bijati,izbijati,iz,14,365
bijati,nabijati,na,7,6
bijati,obijati,o,7,6
bijati,pobijati,po,14,27
bijati,prebijati,pre,7,9
bijati,probijati,pro,14,184
bijati,razbijati,raz,14,111
bijati,ubijati,u,14,790
bijati,zabijati,za,7,13
bilježiti,obilježiti,o,98,111
bilježiti,zabilježiti,za,98,147
birati,ubirati,u,3202,119
biti,dobiti,do,4626608,40711
biti,izbiti,iz,4626608,2776
biti,nabiti,na,2671709,30
biti,obiti,o,4626608,86
biti,pobiti,po,4626608,762
biti,prebiti,pre,3208199,38
biti,probiti,pro,4626608,1373
biti,razbiti,raz,4626608,1045
biti,ubiti,u,4626608,7075
biti,zabiti,za,4626608,69
bivati,dobivati,do,3311,236
bivati,prebivati,pre,2486,62
bivati,ubivati,u,2024,26
bići,dobići,do,18,276
bići,obići,o,18,268
bići,ubići,u,18,47
bježati,razbježati,raz,5,5
blagati,oblagati,o,125,79
blagati,ublagati,u,87,29
blažiti,ublažiti,u,239,378
blediti,izblediti,iz,46,6
blistati,zablistati,za,41,34
bližiti,pobližiti,po,44,11
bližiti,približiti,pri,86,1057
boditi,proboditi,pro,29,12
boditi,uboditi,u,24,12
boditi,zaboditi,za,15,5
bodriti,obodriti,o,14,5
bogatiti,obogatiti,o,24,215
bojati,obojati,o,558,413
bojati,pobojati,po,167,5
bojiti,obojiti,o,48,58
boliti,oboliti,o,92,52
boliti,razboliti,raz,108,98
boraviti,proboraviti,pro,930,7
boraviti,zaboraviti,za,3079,731
boriti,izboriti,iz,6703,1358
boriti,oboriti,o,6703,1448
braniti,zabraniti,za,4466,1041
bratiti,obratiti,o,36,1271
bratiti,pobratiti,po,12,11
bratiti,pribratiti,pri,5,5
brinuti,pobrinuti,po,1342,154
brinuti,zabrinuti,za,1160,72
brisati,izbrisati,iz,225,133
brisati,obrisati,o,225,127
briti,dobriti,do,15,12
briti,obriti,o,6,5
brkati,pobrkati,po,8,5
broditi,prebroditi,pre,23,84
brojati,izbrojati,iz,1084,24
brojati,nabrojati,na,2122,50
brojati,pobrojati,po,728,5
brojati,prebrojati,pre,2122,37
brojati,ubrojati,u,1773,36
brojiti,izbrojiti,iz,11,5
brojiti,ubrojiti,u,41,24
buditi,pobuditi,po,152,130
buditi,probuditi,pro,152,623
buditi,razbuditi,raz,42,5
bujati,nabujati,na,38,62
buniti,pobuniti,po,216,815
bući,obući,o,7,44
bušiti,probušiti,pro,35,28
cediti,procediti,pro,5,5
cena,ocena,o,55,16
ceniti,oceniti,o,399,613
ceniti,preceniti,pre,166,15
ceniti,proceniti,pro,399,761
ceniti,uceniti,u,295,46
cepati,pocepati,po,24,31
cijeniti,ocijeniti,o,12,8
