base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
biti,dobiti,do,530772,5368
biti,ubiti,u,530772,907
biti,pobiti,po,530772,110
biti,probiti,pro,530772,213
biti,izbiti,iz,530772,500
biti,razbiti,raz,530772,139
biti,zabiti,za,530772,10
biti,nabiti,na,530772,7
biti,obiti,o,530772,11
imati,poimati,po,23172,7
nalaziti,pronalaziti,pro,21532,85
nalaziti,snalaziti,s,21532,24
moći,domoći,do,17488,43
moći,pomoći,po,17488,836
živeti,doživeti,do,16789,622
živeti,preživeti,pre,16789,379
živeti,oživeti,o,16789,79
živeti,poživeti,po,16789,19
živeti,zaživeti,za,16789,35
živeti,proživeti,pro,16789,25
koristiti,okoristiti,o,6563,7
dobiti,pridobiti,pri,5368,71
dobiti,zadobiti,za,5368,94
smatrati,posmatrati,po,5071,346
smatrati,osmatrati,o,5071,11
početi,započeti,za,4746,1187
činiti,učiniti,u,4597,956
činiti,načiniti,na,4597,159
činiti,počiniti,po,4597,121
morati,primorati,pri,3716,165
raditi,razraditi,raz,3657,53
raditi,uraditi,u,3657,347
raditi,zaraditi,za,3657,86
raditi,izraditi,iz,3657,221
raditi,preraditi,pre,3657,34
raditi,proraditi,pro,3657,17
raditi,poraditi,po,3657,5
trebati,zatrebati,za,3585,8
govoriti,nagovoriti,na,2811,73
govoriti,dogovoriti,do,2811,98
govoriti,progovoriti,pro,2811,17
govoriti,izgovoriti,iz,2811,55
govoriti,ugovoriti,u,2811,35
voditi,navoditi,na,2795,1025
voditi,provoditi,pro,2795,283
voditi,izvoditi,iz,2795,584
voditi,prevoditi,pre,2795,194
voditi,dovoditi,do,2795,723
voditi,uvoditi,u,2795,247
voditi,svoditi,s,2795,99
voditi,zavoditi,za,2795,17
voditi,privoditi,pri,2795,12
voditi,razvoditi,raz,2795,7
ostati,zaostati,za,2764,44
ostati,preostati,pre,2764,7
ostati,izostati,iz,2764,35
dati,dodati,do,2670,335
dati,izdati,iz,2670,706
dati,zadati,za,2670,75
dati,nadati,na,2670,202
dati,udati,u,2670,153
dati,predati,pre,2670,950
dati,pridati,pri,2670,21
dati,prodati,pro,2670,162
dati,odati,o,2670,52
dati,podati,po,2670,13
vratiti,povratiti,po,2273,398
vratiti,svratiti,s,2273,16
dovesti,nadovesti,na,2192,9
videti,uvideti,u,2070,104
videti,svideti,s,2070,38
videti,zavideti,za,2070,6
videti,prevideti,pre,2070,5
značiti,naznačiti,na,2023,19
značiti,označiti,o,2023,329
baviti,obaviti,o,1887,178
baviti,pribaviti,pri,1887,40
baviti,nabaviti,na,1887,95
baviti,izbaviti,iz,1887,25
baviti,zabaviti,za,1887,15
baviti,dobaviti,do,1887,5
ući,vući,v,1873,54
pisati,zapisati,za,1866,149
pisati,upisati,u,1866,291
pisati,napisati,na,1866,1579
pisati,opisati,o,1866,502
pisati,propisati,pro,1866,28
pisati,pripisati,pri,1866,79
pisati,prepisati,pre,1866,16
pisati,dopisati,do,1866,7
pisati,raspisati,ras,1866,56
pisati,popisati,po,1866,13
naći,pronaći,pro,1845,525
naći,snaći,s,1845,36
naći,ponaći,po,1845,18
dobijati,pridobijati,pri,1743,5
dobijati,zadobijati,za,1743,6
nositi,prenositi,pre,1701,491
nositi,ponositi,po,1701,30
nositi,donositi,do,1701,638
nositi,unositi,u,1701,161
nositi,nanositi,na,1701,107
nositi,iznositi,iz,1701,13836
nositi,prinositi,pri,1701,50
nositi,zanositi,za,1701,9
nositi,snositi,s,1701,41
nositi,pronositi,pro,1701,9
nositi,raznositi,raz,1701,15
počinjati,započinjati,za,1671,290
znati,poznati,po,1577,39
znati,priznati,pri,1577,752
znati,doznati,do,1577,38
trajati,potrajati,po,1556,88
trajati,dotrajati,do,1556,9
služiti,poslužiti,po,1476,242
služiti,zaslužiti,za,1476,48
igrati,zaigrati,za,1451,12
igrati,izigrati,iz,1451,7
zvati,prozvati,pro,1428,50
zvati,nazvati,na,1428,540
zvati,pozvati,po,1428,418
zvati,prizvati,pri,1428,9
reći,izreći,iz,1401,36
