prefixed_verb,base_verb,prefix,prefixed_freq,base_freq,top10_neighbors
primati,imati,pr,10,33,"primati, profil, predstavljati, prevesti, prenositi, prolaziti, pribaviti, proportion, prevoziti, preuzimati"
napisati,pisati,na,6,5,"napisati, nalaziti, nastati, nazivati, napomenuti, namiti, naglašavati, nastaviti, nabaviti, nastavljati"
predstavljati,stavljati,pred,6,2,"predstavljati, predati, predavati"
postavljati,stavljati,po,4,2,"postojati, postati, postavljati, podneti, početi, posedovati, possići, posvetiti, poticati, pojavljivati"
dobiti,biti,do,4,1869,"dovesti, dobiti, dostaviti, dobijati, donositi, dolaziti, dominiti, dolcimeti, doctrinati, dodati"
razdeliti,deliti,raz,4,1,"razdeliti, razmotriti, razvijati, razviti, razgovarati"
pribaviti,baviti,pri,4,5,"primati, pribaviti, prinositi, principaliti, primiti, primoti, primaevati, prikazivati, privati, primeniti"
učiniti,činiti,u,4,7,"ufficići, universati, uključivati, učiniti, usquti, učestvovati, upravljati, utvrditi, ubrajati, ukazivati"
izvoditi,voditi,iz,4,3,"izabellati, izvoditi, izdvojiti, iznositi, izbeći, izradisati, izložiti, izneti, izvršiti, izvoziti"
opisati,pisati,o,3,5,"odnositi, objaviti, osećati, opisati, organizovati, osigurati, omogućiti, opticati, okupljati, osetiti"
preuzimati,uzimati,pre,3,1,"predstavljati, prevesti, prenositi, prevoziti, preuzimati, predati, pretvarati, prebacivati, presumptuosati, preseći"
dostaviti,staviti,do,3,1,"dovesti, dobiti, dostaviti, dobijati, donositi, dolaziti, dominiti, dolcimeti, doctrinati, dodati"
predati,dati,pre,3,7,"predstavljati, prevesti, prenositi, prevoziti, preuzimati, predati, pretvarati, prebacivati, presumptuosati, preseći"
spremiti,premiti,s,3,1,"s><sti, s><s>ati, sati, s><s>iti, smatrati, s><s>kati, snositi, s><s>marteti, s><s>diti, sastojati"
poticati,ticati,po,2,3,"postojati, postati, postavljati, podneti, početi, posedovati, possići, posvetiti, poticati, pojavljivati"
utvrditi,tvrditi,u,2,12,"ufficići, universati, uključivati, učiniti, usquti, učestvovati, upravljati, utvrditi, ubrajati, ukazivati"
podeliti,deliti,po,2,1,"postojati, postati, postavljati, podneti, početi, posedovati, possići, posvetiti, poticati, pojavljivati"
nastaviti,staviti,na,2,1,"napisati, nalaziti, nastati, nazivati, napomenuti, namiti, naglašavati, nastaviti, nabaviti, nastavljati"
odbaciti,baciti,od,2,1,"odnositi, odrediti, odbaciti, određivati, održavati, odgovoriti, odrezati, odgovarati, odobriti, odbijati"
započeti,početi,za,2,4,"zahtevati, zavisiti, zameniti, zastupati, započeti, zamenjivati, zasnivati, zauzimati, zakazati, zanati"
nabaviti,baviti,na,2,5,"napisati, nalaziti, nastati, nazivati, napomenuti, namiti, naglašavati, nastaviti, nabaviti, nastavljati"
nastavljati,stavljati,na,2,2,"napisati, nalaziti, nastati, nazivati, napomenuti, namiti, naglašavati, nastaviti, nabaviti, nastavljati"
oratiti,ratiti,o,2,1,"odnositi, objaviti, osećati, opisati, organizovati, osigurati, omogućiti, opticati, okupljati, osetiti"
dominiti,miniti,do,1,2,"dovesti, dobiti, dostaviti, dobijati, donositi, dolaziti, dominiti, dolcimeti, doctrinati, dodati"
stasti,tasti,s,1,2,"s><sti, s><s>ati, sati, s><s>iti, smatrati, s><s>kati, snositi, s><s>marteti, s><s>diti, sastojati"
ubiti,biti,u,1,1869,"ufficići, universati, uključivati, učiniti, usquti, učestvovati, upravljati, utvrditi, ubrajati, ukazivati"
otići,ići,ot,1,4,"otkriti, otići, otpustiti"
dodati,dati,do,1,7,"dovesti, dobiti, dostaviti, dobijati, donositi, dolaziti, dominiti, dolcimeti, doctrinati, dodati"
spustiti,pustiti,s,1,2,"s><sti, s><s>ati, sati, s><s>iti, smatrati, s><s>kati, snositi, s><s>marteti, s><s>diti, sastojati"
zauzimati,uzimati,za,1,1,"zahtevati, zavisiti, zameniti, zastupati, započeti, zamenjivati, zasnivati, zauzimati, zakazati, zanati"
navoditi,voditi,na,1,3,"napisati, nalaziti, nastati, nazivati, napomenuti, namiti, naglašavati, nastaviti, nabaviti, nastavljati"
subiti,ubiti,s,1,1,"s><sti, s><s>ati, sati, s><s>iti, smatrati, s><s>kati, snositi, s><s>marteti, s><s>diti, sastojati"
subiti,biti,su,1,1869,"sulliti, sustilati, suspicati, sulleti, subtitleti, sull’ati, subiti, sumirati, subsimplex, suočavati"
zakazati,kazati,za,1,3,"zahtevati, zavisiti, zameniti, zastupati, započeti, zamenjivati, zasnivati, zauzimati, zakazati, zanati"
proizvoditi,izvoditi,pro,1,4,"profil, prolaziti, proportion, proveriti, proučavati, proširivati, protestati, proizvoditi, prodavati, protoniti"
prodavati,davati,pro,1,1,"profil, prolaziti, proportion, proveriti, proučavati, proširivati, protestati, proizvoditi, prodavati, protoniti"
ostaviti,staviti,o,1,1,"odnositi, objaviti, osećati, opisati, organizovati, osigurati, omogućiti, opticati, okupljati, osetiti"
nazvati,zvati,na,1,1,"napisati, nalaziti, nastati, nazivati, napomenuti, namiti, naglašavati, nastaviti, nabaviti, nastavljati"
pokazati,kazati,po,1,3,"postojati, postati, postavljati, podneti, početi, posedovati, possići, posvetiti, poticati, pojavljivati"
odgovoriti,govoriti,od,1,3,"odnositi, odrediti, odbaciti, određivati, održavati, odgovoriti, odrezati, odgovarati, odobriti, odbijati"
odrezati,rezati,od,1,1,"odnositi, odrediti, odbaciti, određivati, održavati, odgovoriti, odrezati, odgovarati, odobriti, odbijati"
sastaviti,staviti,sa,1,1,"sastojati, sapiensati, saopštiti, sacrati, sacratissiti, sastaviti, saglasiti, sastavljati, sadržati, sagraditi"
potvrditi,tvrditi,po,1,12,"postojati, postati, postavljati, podneti, početi, posedovati, possići, posvetiti, poticati, pojavljivati"
pomoći,moći,po,1,59,"postojati, postati, postavljati, podneti, početi, posedovati, possići, posvetiti, poticati, pojavljivati"
nadati,dati,na,1,7,"napisati, nalaziti, nastati, nazivati, napomenuti, namiti, naglašavati, nastaviti, nabaviti, nastavljati"
prikazati,kazati,pri,1,3,"primati, pribaviti, prinositi, principaliti, primiti, primoti, primaevati, prikazivati, privati, primeniti"
postaviti,staviti,po,1,1,"postojati, postati, postavljati, podneti, početi, posedovati, possići, posvetiti, poticati, pojavljivati"
ugovoriti,govoriti,u,1,3,"ufficići, universati, uključivati, učiniti, usquti, učestvovati, upravljati, utvrditi, ubrajati, ukazivati"
obratiti,ratiti,ob,1,1,"objaviti, oblikovati, obezbeđivati, obeležavati, obedovati, objasniti, objavljivati, obaveštavati, obratiti, obavezivati"
izvršiti,vršiti,iz,1,4,"izabellati, izvoditi, izdvojiti, iznositi, izbeći, izradisati, izložiti, izneti, izvršiti, izvoziti"
sastavljati,stavljati,sa,1,2,"sastojati, sapiensati, saopštiti, sacrati, sacratissiti, sastaviti, saglasiti, sastavljati, sadržati, sagraditi"
prodati,dati,pro,1,7,"profil, prolaziti, proportion, proveriti, proučavati, proširivati, protestati, proizvoditi, prodavati, protoniti"
uticati,ticati,u,1,3,"ufficići, universati, uključivati, učiniti, usquti, učestvovati, upravljati, utvrditi, ubrajati, ukazivati"
predavati,davati,pre,1,1,"predstavljati, prevesti, prenositi, prevoziti, preuzimati, predati, pretvarati, prebacivati, presumptuosati, preseći"
zatražiti,tražiti,za,1,1,"zahtevati, zavisiti, zameniti, zastupati, započeti, zamenjivati, zasnivati, zauzimati, zakazati, zanati"
dogovoriti,govoriti,do,1,3,"dovesti, dobiti, dostaviti, dobijati, donositi, dolaziti, dominiti, dolcimeti, doctrinati, dodati"
dovoditi,voditi,do,1,3,"dovesti, dobiti, dostaviti, dobijati, donositi, dolaziti, dominiti, dolcimeti, doctrinati, dodati"
izgledati,gledati,iz,1,1,"izabellati, izvoditi, izdvojiti, iznositi, izbeći, izradisati, izložiti, izneti, izvršiti, izvoziti"
otpustiti,pustiti,ot,1,2,"otkriti, otići, otpustiti"
izdati,dati,iz,1,7,"izabellati, izvoditi, izdvojiti, iznositi, izbeći, izradisati, izložiti, izneti, izvršiti, izvoziti"
postignuti,stignuti,po,1,2,"postojati, postati, postavljati, podneti, početi, posedovati, possići, posvetiti, poticati, pojavljivati"
okretati,kretati,o,1,6,"odnositi, objaviti, osećati, opisati, organizovati, osigurati, omogućiti, opticati, okupljati, osetiti"
zaraditi,raditi,za,1,9,"zahtevati, zavisiti, zameniti, zastupati, započeti, zamenjivati, zasnivati, zauzimati, zakazati, zanati"
dostići,stići,do,1,3,"dovesti, dobiti, dostaviti, dobijati, donositi, dolaziti, dominiti, dolcimeti, doctrinati, dodati"
označiti,značiti,o,1,9,"odnositi, objaviti, osećati, opisati, organizovati, osigurati, omogućiti, opticati, okupljati, osetiti"
uzimati,imati,uz,1,33,"uzrokovati, uzdizati, uzimati"
oživeti,živeti,o,1,1,"odnositi, objaviti, osećati, opisati, organizovati, osigurati, omogućiti, opticati, okupljati, osetiti"
napustiti,pustiti,na,1,2,"napisati, nalaziti, nastati, nazivati, napomenuti, namiti, naglašavati, nastaviti, nabaviti, nastavljati"
doprinositi,prinositi,do,1,2,"dovesti, dobiti, dostaviti, dobijati, donositi, dolaziti, dominiti, dolcimeti, doctrinati, dodati"
