base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
stojati,postojati,po,1,933
mešati,pomešati,po,22,2
praviti,napraviti,na,37,100
uzimati,zauzimati,za,58,143
stavljati,postavljati,po,28,62
nositi,prenositi,pre,138,46
kazati,pokazati,po,89,122
veo,uveo,u,4,35
gledati,pogledati,po,47,6
pisati,zapisati,za,171,14
likovati,razlikovati,raz,1,156
vesti,uvesti,u,3,61
pomeniti,napomeniti,na,1,2
viti,razviti,raz,1,195
držati,podržati,po,83,36
ostaviti,izostaviti,iz,76,3
ideti,videti,v,1,246
kazati,prikazati,pri,89,39
poručiti,preporučiti,pre,3,5
umeti,razumeti,raz,10,32
kazivati,prikazivati,pri,3,68
padati,pripadati,pri,53,273
stati,nastati,na,22,350
tati,rastati,ras,1,16
tvoriti,stvoriti,s,3,126
lakšati,olakšati,o,1,12
stajati,nastajati,na,54,132
umeti,izumeti,iz,10,8
držati,zadržati,za,83,106
staviti,nastaviti,na,30,144
ostajati,zaostajati,za,86,10
stajati,postajati,po,54,208
čitati,pročitati,pro,25,10
ticati,poticati,po,43,159
sporiti,usporiti,u,5,13
slati,poslati,po,59,113
uzeti,preuzeti,pre,20,129
kazivati,ukazivati,u,3,61
poznavati,prepoznavati,pre,30,11
puštati,dopuštati,do,7,9
značiti,naznačiti,na,261,1
čitati,učitati,u,25,1
tvrditi,utvrditi,u,112,51
dati,dodati,do,232,28
trebati,zatrebati,za,268,1
tvoriti,pretvoriti,pre,3,44
padati,spadati,s,53,144
visiti,zavisiti,za,1,68
javiti,pojaviti,po,27,150
voditi,navoditi,na,240,85
stupiti,nastupiti,na,46,21
užiti,pružiti,pr,1,40
vesti,izvesti,iz,3,45
živeti,doživeti,do,569,92
meriti,pomeriti,po,20,10
vučiti,izvučiti,iz,9,4
trpeti,pretrpeti,pre,3,33
poručivati,preporučivati,pre,3,8
stajati,ostajati,o,54,86
teći,preteći,pre,32,4
stavljati,ostavljati,o,28,16
teći,steći,s,32,94
staviti,postaviti,po,30,92
služiti,poslužiti,po,146,16
nuditi,ponuditi,po,30,23
moći,domoći,do,1619,4
biti,dobiti,do,49796,411
kazati,zakazati,za,89,3
živeti,preživeti,pre,569,34
baviti,obaviti,o,241,13
voditi,provoditi,pro,240,28
svađati,posvađati,po,1,1
seliti,preseliti,pre,11,39
zvati,prozvati,pro,150,6
slediti,naslediti,na,70,36
ginuti,poginuti,po,2,69
staviti,ostaviti,o,30,76
stajati,pristajati,pri,54,12
vršiti,završiti,za,113,111
krenuti,skrenuti,s,62,5
učiti,vučiti,v,52,9
pisati,upisati,u,171,27
pavati,spavati,s,1,8
interesovati,zainteresovati,za,3,5
biti,ubiti,u,49796,67
ostajati,izostajati,iz,86,2
puštati,napuštati,na,7,38
topiti,utopiti,u,6,4
davati,odavati,o,116,10
nalaziti,pronalaziti,pro,1182,10
mirati,umirati,u,1,23
čiti,učiti,u,19,52
vesti,navesti,na,3,27
stati,postati,po,22,884
misliti,izmisliti,iz,62,13
raditi,razraditi,raz,305,6
pisati,napisati,na,171,170
raditi,uraditi,u,305,28
pisati,opisati,o,171,65
raditi,zaraditi,za,305,10
gaziti,pogaziti,po,1,2
stati,pristati,pri,22,25
većati,povećati,po,1,54
uzrokovati,prouzrokovati,pro,25,25
stati,ostati,o,22,254
hraniti,prehraniti,pre,4,2
kupiti,skupiti,s,21,12
slušati,poslušati,po,11,8
pasti,propasti,pro,59,17
počinjati,započinjati,za,181,26
vesti,svesti,s,3,12
ticati,zaticati,za,43,3
nositi,ponositi,po,138,4
vesti,provesti,pro,3,59
držati,održati,o,83,69
spevati,uspevati,u,1,38
izvesti,proizvesti,pro,45,24
trujati,strujati,s,1,4
goreti,izgoreti,iz,1,4
stavljati,nastavljati,na,28,78
javiti,izjaviti,iz,27,35
provesti,sprovesti,s,59,39
kazati,dokazati,do,89,23
izvoditi,proizvoditi,pro,63,54
videti,uvideti,u,246,6
meriti,izmeriti,iz,20,12
beležiti,zabeležiti,za,28,27
pratiti,propratiti,pro,85,1
deliti,dodeliti,do,147,20
tati,stati,s,1,22
stati,prestati,pre,22,41
gubiti,izgubiti,iz,50,114
kazivati,pokazivati,po,3,98
štetiti,oštetiti,o,1,2
prodati,rasprodati,ras,15,2
zimati,uzimati,u,4,58
stati,ustati,u,22,9
lomiti,polomiti,po,1,2
tražiti,zatražiti,za,103,26
praviti,popraviti,po,37,4
glasiti,proglasiti,pro,18,169
dati,izdati,iz,232,39
štititi,zaštititi,za,20,12
voditi,izvoditi,iz,240,63
premati,popremati,po,1,8
graditi,izgraditi,iz,45,28
dati,zadati,za,232,8
vršiti,izvršiti,iz,113,119
hraniti,pohraniti,po,4,1
goniti,pogoniti,po,4,1
davati,zadavati,za,116,3
voditi,prevoditi,pre,240,21
davati,dodavati,do,116,16
raditi,izraditi,iz,305,12
činiti,učiniti,u,735,67
vesti,dovesti,do,3,343
vezivati,povezivati,po,2,89
izaći,proizaći,pro,36,3
širiti,proširiti,pro,98,109
misliti,zamisliti,za,62,11
stići,postići,po,93,37
prinositi,doprinositi,do,6,47
rasti,izrasti,iz,52,14
nositi,donositi,do,138,77
