base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
stojati,postojati,po,23,7610
mešati,pomešati,po,242,40
praviti,napraviti,na,512,954
uzimati,zauzimati,za,586,869
stavljati,postavljati,po,327,459
nositi,prenositi,pre,1701,491
kazati,pokazati,po,1223,1347
veo,uveo,u,7,337
gledati,pogledati,po,428,98
pisati,zapisati,za,1866,149
likovati,razlikovati,raz,5,1266
vesti,uvesti,u,39,337
pomeniti,napomeniti,na,7,7
viti,razviti,raz,4,1480
držati,podržati,po,1256,353
matrati,smatrati,s,1,5071
hvatiti,prihvatiti,pri,7,1031
ostaviti,izostaviti,iz,933,22
metati,ometati,o,1,64
ideti,videti,v,13,2070
kazati,prikazati,pri,1223,214
poručiti,preporučiti,pre,85,63
umeti,razumeti,raz,78,291
čvrstiti,učvrstiti,u,1,213
kazivati,prikazivati,pri,38,505
padati,pripadati,pri,389,12150
stati,nastati,na,290,2603
tati,rastati,ras,15,113
lati,raslati,ras,6,75
tvoriti,stvoriti,s,21,1073
lakšati,olakšati,o,1,105
stajati,nastajati,na,776,1080
umeti,izumeti,iz,78,69
držati,zadržati,za,1256,865
staviti,nastaviti,na,488,1652
vijati,razvijati,raz,1,1061
ostajati,zaostajati,za,811,80
stajati,postajati,po,776,1824
čitati,pročitati,pro,268,113
ticati,poticati,po,390,1480
sporiti,usporiti,u,20,85
lati,slati,s,6,512
slati,poslati,po,512,1247
uzeti,preuzeti,pre,288,1101
kazivati,ukazivati,u,38,537
poznavati,prepoznavati,pre,277,82
puštati,dopuštati,do,79,97
značiti,naznačiti,na,2023,19
čitati,učitati,u,268,5
tvrditi,utvrditi,u,1258,542
javljivati,pojavljivati,po,1,843
dati,dodati,do,2670,335
trebati,zatrebati,za,3585,8
tvoriti,pretvoriti,pre,21,363
padati,spadati,s,389,1076
menjivati,zamenjivati,za,1,166
titi,prititi,pri,3,33
visiti,zavisiti,za,9,753
javiti,pojaviti,po,424,1296
voditi,navoditi,na,2795,1025
lagati,izlagati,iz,4,165
stupiti,nastupiti,na,536,269
užiti,pružiti,pr,8,369
vesti,izvesti,iz,39,519
živeti,doživeti,do,16789,622
veriti,proveriti,pro,18,44
meriti,pomeriti,po,218,76
vučiti,izvučiti,iz,63,44
trpeti,pretrpeti,pre,94,366
poručivati,preporučivati,pre,29,169
stajati,ostajati,o,776,811
teći,preteći,pre,312,29
atiti,pratiti,pr,1,866
stavljati,ostavljati,o,327,209
teći,steći,s,312,857
čestvovati,učestvovati,u,1,2232
staviti,postaviti,po,488,1020
služiti,poslužiti,po,1476,242
misati,zamisati,za,1,65
ložiti,izložiti,iz,13,116
nuditi,ponuditi,po,301,342
moći,domoći,do,17488,43
biti,dobiti,do,530772,5368
kazati,zakazati,za,1223,30
živeti,preživeti,pre,16789,379
baviti,obaviti,o,1887,178
voditi,provoditi,pro,2795,283
oditi,voditi,v,4,2795
svađati,posvađati,po,29,15
seliti,preseliti,pre,191,429
zvati,prozvati,pro,1428,50
slediti,naslediti,na,746,525
ginuti,poginuti,po,10,724
staviti,ostaviti,o,488,933
stajati,pristajati,pri,776,83
vršiti,završiti,za,1297,1668
krenuti,skrenuti,s,1251,97
kušati,pokušati,po,5,1175
učiti,vučiti,v,511,63
ratiti,vratiti,v,2,2273
pisati,upisati,u,1866,291
pavati,spavati,s,4,114
lagati,polagati,po,4,198
interesovati,zainteresovati,za,58,48
biti,ubiti,u,530772,907
ostajati,izostajati,iz,811,8
puštati,napuštati,na,79,370
kidati,prekidati,pre,15,93
topiti,utopiti,u,56,25
bijati,dobijati,do,7,1743
davati,odavati,o,1282,78
nalaziti,pronalaziti,pro,21532,85
mirati,umirati,u,7,313
čiti,učiti,u,157,511
vesti,navesti,na,39,351
stati,postati,po,290,7381
misliti,izmisliti,iz,703,92
raditi,razraditi,raz,3657,53
pisati,napisati,na,1866,1579
znavati,poznavati,po,1,277
predovati,napredovati,na,1,357
raditi,uraditi,u,3657,347
pisati,opisati,o,1866,502
raditi,zaraditi,za,3657,86
dgovoriti,odgovoriti,o,1,329
gaziti,pogaziti,po,14,8
stati,pristati,pri,290,291
većati,povećati,po,10,514
veriti,uveriti,u,18,102
uzrokovati,prouzrokovati,pro,365,180
snivati,osnivati,o,1,299
ložiti,složiti,s,13,167
stati,ostati,o,290,2764
hraniti,prehraniti,pre,106,16
kupiti,skupiti,s,373,136
slušati,poslušati,po,161,62
znavati,priznavati,pri,1,301
metiti,primetiti,pri,2,248
pasti,propasti,pro,682,171
počinjati,započinjati,za,1671,290
vesti,svesti,s,39,79
