base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
računati,izračunati,iz,125,70
snovati,osnovati,o,1,979
čestvovati,učestvovati,u,1,4967
tizati,stizati,s,1,292
voditi,dovoditi,do,2274,699
nositi,iznositi,iz,1653,1164
laziti,ulaziti,u,2,531
matrati,smatrati,s,1,3242
izvoditi,proizvoditi,pro,530,636
laziti,nalaziti,na,2,230463
kazati,pokazati,po,958,1197
dići,podići,po,12,488
kazivati,pokazivati,po,11,870
nositi,donositi,do,1653,462
staviti,nastaviti,na,308,1790
nalaziti,pronalaziti,pro,230463,211
padati,pripadati,pri,224,2279
stojati,postojati,po,6,4789
dizati,podizati,po,14,138
vesti,provesti,pro,34,1080
naći,pronaći,pro,1547,670
početi,započeti,za,3938,1341
raziti,izraziti,iz,1,271
kušati,pokušati,po,1,695
vesti,uvesti,u,34,204
laziti,zalaziti,za,2,21
činiti,učiniti,u,2892,530
laziti,dolaziti,do,2,1740
vesti,dovesti,do,34,1351
gledati,izgledati,iz,334,258
moći,pomoći,po,15565,979
provoditi,sprovoditi,s,355,364
miti,primiti,pri,4,492
poručiti,preporučiti,pre,22,55
laziti,izlaziti,iz,2,586
stati,postati,po,165,5933
puniti,napuniti,na,20,65
pustiti,napustiti,na,85,1164
staviti,ostaviti,o,308,631
ženiti,oženiti,o,51,378
hvatiti,prihvatiti,pri,9,658
tvoriti,pretvoriti,pre,7,216
učiti,naučiti,na,387,309
poznati,upoznati,u,27,570
pustiti,prepustiti,pre,85,63
stati,ostati,o,165,2037
ginuti,poginuti,po,7,585
sećati,osećati,o,16,368
poraviti,oporaviti,o,2,87
voditi,provoditi,pro,2274,355
svojiti,osvojiti,o,3,4733
padati,spadati,s,224,639
beležiti,zabeležiti,za,214,459
pevati,opevati,o,279,15
stajati,prestajati,pre,460,124
oditi,voditi,v,5,2274
vršiti,završiti,za,832,3478
buhvatati,obuhvatati,o,1,1107
stati,nastati,na,165,1727
pisati,zapisati,za,1318,77
slati,poslati,po,326,681
kidati,ukidati,u,5,32
brojati,ubrojati,u,407,2
saditi,posaditi,po,22,6
visiti,zavisiti,za,7,596
ticati,poticati,po,298,927
ticati,uticati,u,298,1195
teći,steći,s,220,829
stavljati,postavljati,po,211,354
držati,zadržati,za,747,582
graničiti,ograničiti,o,118,73
voditi,navoditi,na,2274,833
ponašati,oponašati,o,129,28
likovati,razlikovati,raz,1,941
biti,dobiti,do,887637,4341
prečiti,sprečiti,s,1,413
ustaviti,zaustaviti,za,1,268
baciti,izbaciti,iz,133,201
dati,dodati,do,1738,317
raditi,uraditi,u,5268,506
hvatiti,shvatiti,s,9,312
izvesti,proizvesti,pro,295,258
viti,razviti,raz,8,863
pisati,opisati,o,1318,614
laziti,prelaziti,pre,2,756
družiti,pridružiti,pri,68,666
davati,izdavati,iz,976,218
lagati,slagati,s,6,195
oći,proći,pr,2,636
stupati,nastupati,na,96,1375
tići,otići,o,2,1142
seliti,preseliti,pre,204,714
ratiti,vratiti,v,4,2042
davati,prodavati,pro,976,125
stavljati,nastavljati,na,211,661
pisati,napisati,na,1318,3087
znati,priznati,pri,1158,375
nositi,zanositi,za,1653,2
pijati,opijati,o,4,7
bojati,obojati,o,51,61
javljivati,pojavljivati,po,3,1008
lepiti,slepiti,s,1,21
slaviti,proslaviti,pro,227,139
vući,povući,po,16,595
kazivati,prikazivati,pri,11,572
poznavati,upoznavati,u,152,194
kupiti,zakupiti,za,441,9
stići,dostići,do,878,313
pasti,propasti,pro,648,85
gledati,ogledati,o,334,291
smisliti,osmisliti,o,33,107
kazati,prikazati,pri,958,208
pavati,spavati,s,2,123
živeti,oživeti,o,222864,81
setiti,osetiti,o,21,136
gledati,pogledati,po,334,105
umrlati,izumrlati,iz,296,42
služiti,poslužiti,po,1291,189
stajati,nastajati,na,460,722
gurati,ugurati,u,26,2
stupiti,pristupiti,pri,403,288
stupati,zastupati,za,96,138
stajati,postajati,po,460,1366
puštati,napuštati,na,72,342
prinositi,doprinositi,do,22,249
rešiti,razrešiti,raz,257,17
vratiti,povratiti,po,2042,168
govoriti,nagovoriti,na,1982,41
staviti,postaviti,po,308,833
voliti,zavoliti,za,21,5
udarati,sudarati,s,21,7
krivati,skrivati,s,4,65
ljubiti,zaljubiti,za,6,68
užiti,pružiti,pr,1,305
kidati,prekidati,pre,5,72
očarati,razočarati,raz,3,17
boliti,razboliti,raz,16,11
ideti,videti,v,11,1310
stajati,ostajati,o,460,695
slijepiti,zaslijepiti,za,1,1
zvati,pozvati,po,874,274
zvati,nazvati,na,874,379
kačiti,zakačiti,za,6,7
buditi,probuditi,pro,17,69
ljubiti,poljubiti,po,6,25
pasti,spasti,s,648,120
poznati,prepoznati,pre,27,205
teći,zateći,za,220,168
hvatati,prihvatati,pri,66,213
biti,ubiti,u,887637,771
hapsiti,uhapsiti,u,20,128
vesti,povesti,po,34,205
prostiti,oprostiti,o,2,54
počinjati,započinjati,za,1451,409
ludeti,poludeti,po,1,10
sveti,osveti,o,9,47
rasti,prerasti,pre,513,128
goditi,pogoditi,po,3,148
micati,izmicati,iz,1,5
diti,naditi,na,48,2
tužiti,rastužiti,ras,32,2
spevati,uspevati,u,5,442
vraćati,navraćati,na,759,11
očiti,uočiti,u,17,99
pakovati,spakovati,s,8,6
javiti,pojaviti,po,350,1150
slediti,naslediti,na,401,372
čiti,učiti,u,109,387
stati,prestati,pre,165,413
svetiti,posvetiti,po,7,338
vladati,prevladati,pre,578,19
videti,svideti,s,1310,22
terati,oterati,o,40,44
gubiti,izgubiti,iz,289,982
pustiti,upustiti,u,85,34
goditi,dogoditi,do,3,328
baciti,pobaciti,po,133,1
viđati,uviđati,u,54,26
kidati,raskidati,ras,5,39
spavati,prespavati,pre,123,6
čekati,dočekati,do,235,77
seti,preseti,pre,12,72
uključiti,pruključiti,pr,278,2
stizati,dostizati,do,292,223
rasti,orasti,o,513,85
jačati,pojačati,po,23,78
kazivati,ukazivati,u,11,575
premati,popremati,po,13,34
tvrditi,utvrditi,u,1037,380
voditi,izvoditi,iz,2274,530
stizati,postizati,po,292,338
vršiti,izvršiti,iz,832,579
obilaziti,zaobilaziti,za,61,10
lečiti,izlečiti,iz,230,54
krivati,pokrivati,po,4,273
ložiti,naložiti,na,5,37
titi,pretiti,pre,72,132
robiti,zarobiti,za,2,172
atiti,pratiti,pr,4,1094
uzeti,zauzeti,za,240,1155
tvrditi,potvrditi,po,1037,380
dati,izdati,iz,1738,601
kloniti,pokloniti,po,2,189
uzimati,zauzimati,za,432,508
padati,napadati,na,224,220
pleniti,zapleniti,za,11,29
širiti,proširiti,pro,409,414
pasti,upasti,u,648,166
dizati,odizati,o,14,1
hvatiti,zahvatiti,za,9,88
živeti,doživeti,do,222864,449
puštati,upuštati,u,72,23
tati,rastati,ras,6,61
stajati,ustajati,u,460,20
štititi,zaštititi,za,215,117
gledati,ugledati,u,334,49
umeti,razumeti,raz,34,222
naći,ponaći,po,1547,15
dati,podati,po,1738,15
tući,potući,po,18,42
farbati,ofarbati,o,5,2
vaditi,izvaditi,iz,38,27
čuti,začuti,za,337,4
krati,prikrati,pri,2,1
bližiti,približiti,pri,15,120
govoriti,progovoriti,pro,1982,12
plašiti,uplašiti,u,102,17
plakati,oplakati,o,23,1
tvoriti,zatvoriti,za,7,146
vesti,navesti,na,34,282
misliti,pomisliti,po,458,37
krati,ukrati,u,2,27
deliti,podeliti,po,821,327
