prefixed_verb,base_verb,prefix,prefixed_freq,base_freq
primati,imati,pr,10,33
napisati,pisati,na,6,5
predstavljati,stavljati,pred,6,2
postavljati,stavljati,po,4,2
dobiti,biti,do,4,1869
razdeliti,deliti,raz,4,1
pribaviti,baviti,pri,4,5
učiniti,činiti,u,4,7
izvoditi,voditi,iz,4,3
opisati,pisati,o,3,5
preuzimati,uzimati,pre,3,1
dostaviti,staviti,do,3,1
predati,dati,pre,3,7
spremiti,premiti,s,3,1
poticati,ticati,po,2,3
utvrditi,tvrditi,u,2,12
podeliti,deliti,po,2,1
nastaviti,staviti,na,2,1
odbaciti,baciti,od,2,1
započeti,početi,za,2,4
nabaviti,baviti,na,2,5
nastavljati,stavljati,na,2,2
oratiti,ratiti,o,2,1
dominiti,miniti,do,1,2
stasti,tasti,s,1,2
ubiti,biti,u,1,1869
otići,ići,ot,1,4
dodati,dati,do,1,7
spustiti,pustiti,s,1,2
zauzimati,uzimati,za,1,1
navoditi,voditi,na,1,3
subiti,ubiti,s,1,1
subiti,biti,su,1,1869
zakazati,kazati,za,1,3
proizvoditi,izvoditi,pro,1,4
prodavati,davati,pro,1,1
ostaviti,staviti,o,1,1
nazvati,zvati,na,1,1
pokazati,kazati,po,1,3
odgovoriti,govoriti,od,1,3
odrezati,rezati,od,1,1
sastaviti,staviti,sa,1,1
potvrditi,tvrditi,po,1,12
pomoći,moći,po,1,59
nadati,dati,na,1,7
prikazati,kazati,pri,1,3
postaviti,staviti,po,1,1
ugovoriti,govoriti,u,1,3
obratiti,ratiti,ob,1,1
izvršiti,vršiti,iz,1,4
sastavljati,stavljati,sa,1,2
prodati,dati,pro,1,7
uticati,ticati,u,1,3
predavati,davati,pre,1,1
zatražiti,tražiti,za,1,1
dogovoriti,govoriti,do,1,3
dovoditi,voditi,do,1,3
izgledati,gledati,iz,1,1
otpustiti,pustiti,ot,1,2
izdati,dati,iz,1,7
postignuti,stignuti,po,1,2
okretati,kretati,o,1,6
zaraditi,raditi,za,1,9
dostići,stići,do,1,3
označiti,značiti,o,1,9
uzimati,imati,uz,1,33
oživeti,živeti,o,1,1
napustiti,pustiti,na,1,2
doprinositi,prinositi,do,1,2
