глагол,частота
biti,49796
imati,3023
moći,1619
nalaziti,1182
postojati,933
postati,884
koristiti,770
činiti,735
hteti,650
smatrati,640
živeti,569
predstavljati,518
početi,450
dobiti,411
doći,410
iznositi,398
morati,377
nazivati,354
nastati,350
dolaziti,344
dovesti,343
govoriti,342
raditi,305
sastojati,304
pripadati,273
trebati,268
značiti,261
nemati,259
ostati,254
videti,246
obuhvatati,246
baviti,241
voditi,240
dati,232
osvojiti,220
postajati,208
osnovati,198
razviti,195
kretati,193
počinjati,181
vladati,181
trajati,178
verovati,178
sadržati,177
pisati,171
učestvovati,171
napisati,170
proglasiti,169
naći,166
objaviti,165
uspeti,165
odnositi,164
graničiti,163
poticati,159
otkriti,158
razlikovati,156
vratiti,156
javljati,153
razvijati,150
pojaviti,150
zvati,150
ući,149
deliti,147
služiti,146
uticati,145
nastaviti,144
spadati,144
zauzimati,143
nositi,138
doneti,137
uključivati,136
birati,136
formirati,135
započeti,135
nastajati,132
održavati,131
preuzeti,129
stvoriti,126
stvarati,124
pokazati,122
želeti,119
izvršiti,119
označavati,117
pokušati,117
znati,117
davati,116
opisivati,114
izgubiti,114
poslati,113
vršiti,113
prostirati,113
tvrditi,112
završiti,111
dominirati,111
proširiti,109
zauzeti,108
igrati,107
zadržati,106
izlaziti,105
prihvatiti,104
reći,103
omogućiti,103
tražiti,103
napraviti,100
dobijati,100
boriti,100
ići,99
napustiti,99
pokazivati,98
preći,98
širiti,98
uspostaviti,97
pružati,96
odgovarati,94
steći,94
stići,93
doživeti,92
postaviti,92
menjati,89
kazati,89
povezivati,89
proučavati,88
isticati,88
ležati,88
protezati,88
posedovati,86
ostajati,86
ostvariti,86
navoditi,85
prelaziti,85
pratiti,85
definisati,83
pojavljivati,83
držati,83
umreti,82
upravljati,82
pomoći,81
pokušavati,81
doprineti,81
priznati,81
zahtevati,80
podeliti,80
nastavljati,78
podržavati,77
donositi,77
izazvati,77
procenjivati,77
ostaviti,76
odlučiti,76
karakterisati,75
povući,75
organizovati,74
otići,74
pronaći,74
potpisati,74
naseljavati,73
imenovati,73
varirati,72
ulaziti,71
slediti,70
poginuti,69
održati,69
odbiti,69
prikazivati,68
zavisiti,68
ubiti,67
učiniti,67
pretpostavljati,66
omogućavati,65
opisati,65
proći,65
pokrivati,64
pomagati,64
podrazumevati,63
obavljati,63
izvoditi,63
odvijati,63
dovoditi,63
postavljati,62
misliti,62
krenuti,62
uvesti,61
ukazivati,61
određivati,61
promeniti,61
pobediti,61
kontrolisati,60
datirati,60
slati,59
osloboditi,59
provesti,59
pasti,59
zalagati,59
uzimati,58
predvoditi,58
prolaziti,57
nazvati,57
povećavati,57
pridružiti,57
posmatrati,56
delovati,56
odlikovati,56
napasti,56
usvojiti,55
porasti,55
predati,55
stajati,54
objavljivati,54
objasniti,54
odlaziti,54
povećati,54
proizvoditi,54
roditi,54
sprečiti,54
uslediti,53
padati,53
iskoristiti,53
okupirati,53
odbijati,52
vraćati,52
učiti,52
zasnivati,52
rasti,52
utvrditi,51
predavati,51
pokrenuti,51
dogoditi,51
naseliti,51
primiti,50
pominjati,50
gubiti,50
poraziti,50
težiti,49
označiti,49
odigrati,48
gledati,47
doprinositi,47
predložiti,47
ogledati,47
sprovoditi,47
izbiti,47
prenositi,46
zameniti,46
ujediniti,46
stupiti,46
izvesti,45
graditi,45
smanjiti,45
pretvoriti,44
izučavati,44
desiti,44
dostići,44
ticati,43
odrediti,43
priznavati,43
izazivati,43
zaključiti,43
zaustaviti,43
očekivati,42
odlučivati,42
čuvati,41
ukinuti,41
prestati,41
oslanjati,41
nastojati,41
upoznati,41
čuti,41
smanjivati,40
upotrebljavati,40
pružiti,40
podstaći,40
uživati,40
prikazati,39
izdvajati,39
preseliti,39
sprovesti,39
izdati,39
uništiti,39
preneti,38
dešavati,38
izabrati,38
napuštati,38
uspevati,38
primati,38
shvatiti,38
sateliti,38
brojati,38
stradati,38
postići,37
potvrđivati,37
praviti,37
izjasniti,37
prihvatati,37
podržati,36
završavati,36
naslediti,36
pohađati,36
potvrditi,36
ostvarivati,36
oblikovati,36
izaći,36
video,36
uveo,35
okruživati,35
objašnjavati,35
prisustvovati,35
okončati,35
osnivati,35
istraživati,35
izjaviti,35
svedočiti,35
pevati,35
okupljati,35
obeležiti,35
spominjati,35
posetiti,35
osvajati,35
obeležavati,35
ubrajati,34
preživeti,34
pozivati,34
kružiti,34
braniti,34
spuštati,34
dostizati,34
opadati,34
smeti,33
sačuvati,33
pretrpeti,33
bivati,33
stizati,33
izraziti,33
posvetiti,33
podsticati,33
predlagati,33
osećati,33
razumeti,32
obezbediti,32
napredovati,32
putovati,32
predstaviti,32
poštovati,32
primenjivati,32
povratiti,32
emitovati,32
teći,32
otvoriti,32
podići,32
orbiti,32
upotrebiti,31
obrađivati,31
preminuti,31
svirati,31
prerasti,31
funkcionisati,31
zvučiti,31
pogoditi,31
ulivati,31
protiviti,30
nuditi,30
staviti,30
poznavati,30
izražavati,30
sugerisati,30
rezultovati,30
sačinjavati,30
odražavati,30
studirati,30
pišati,29
pretvarati,29
raspolagati,29
dozvoljavati,28
dodati,28
važiti,28
provoditi,28
uraditi,28
povlačiti,28
stavljati,28
izgraditi,28
otkrivati,28
uvoditi,28
beležiti,28
spajati,28
uočiti,28
nastanjivati,28
raspasti,28
voleti,28
kritikovati,28
snimiti,28
pokoriti,28
ojačati,28
opasti,28
planirati,28
uputiti,27
upisati,27
navesti,27
doživljavati,27
javiti,27
zabeležiti,27
dodeljivati,27
slagati,27
sarađivati,27
izgledati,27
predviđati,27
rešiti,26
boraviti,26
započinjati,26
zatražiti,26
istaći,26
sastaviti,26
odreći,26
naglašavati,26
izbeći,26
preovlađivati,26
saznati,26
odneti,26
proterati,26
svrstati,26
zimeti,26
nailaziti,25
odvojiti,25
odvajati,25
čitati,25
dozvoliti,25
pristati,25
prouzrokovati,25
privlačiti,25
počivati,25
izdvojiti,25
vezovati,25
ustanoviti,25
sretati,25
razdvajati,25
zagovarati,25
događati,25
pričati,25
narediti,25
izvoziti,25
nastaniti,25
uzrokovati,25
primetiti,24
proizvesti,24
identifikovati,24
postizati,24
slaviti,24
preuzimati,24
oženiti,24
sklopiti,24
prekinuti,24
oslobađati,24
pobeći,24
pozvati,24
ponuditi,23
umirati,23
odgovoriti,23
dokazati,23
izneti,23
zastupati,23
odustati,23
uključiti,23
pripisivati,23
okrenuti,23
osigurati,23
proticati,23
podizati,23
zabraniti,23
garantovati,22
zadržavati,22
podneti,22
odbaciti,22
stati,22
otvarati,22
dugovati,22
sticati,22
privući,22
mešati,22
duvati,22
promovisati,22
primorati,22
naići,22
zarobiti,22
obezbeđivati,21
nastupiti,21
posećivati,21
priključiti,21
računati,21
prevoditi,21
bazirati,21
povesti,21
formulisati,21
obići,21
podsećati,21
kombinovati,21
suditi,21
obnoviti,21
pomenuti,21
baciti,21
naučiti,21
otpočeti,21
doseliti,21
nestati,21
živjeti,21
umrasti,21
najaviti,21
kupiti,21
ubijati,21
plaćati,21
primeniti,20
tumačiti,20
meriti,20
dodeliti,20
štititi,20
analizirati,20
načiniti,20
uzeti,20
prevesti,20
sam,20
uzeo,20
izdizati,20
izjašnjavati,20
približiti,20
preovladavati,20
uspjeti,20
pripasti,20
glasati,20
odbacivati,20
moliti,20
uzgajati,20
zahvatati,20
pravi,19
čiti,19
tretirati,19
finansirati,19
okretati,19
približavati,19
rađati,19
svrstavati,19
brinuti,19
prekrivati,19
pokretati,19
suprotstaviti,19
poklapati,19
očuvati,19
proglašavati,19
zahvatiti,19
pristupiti,19
zbaciti,19
zapisovati,18
upućivati,18
prikupljati,18
ponavljati,18
prikupiti,18
glasiti,18
nametnuti,18
nedostajati,18
obratiti,18
odobriti,18
suočiti,18
ličiti,17
uređivati,17
polaziti,17
polagati,17
propasti,17
uporediti,17
istražiti,17
orbitirati,17
prepoznati,17
planeti,17
ispuniti,17
unositi,17
obrazovati,17
razmatrati,17
napomenuti,17
padnuti,17
ratifikovati,17
raspustiti,17
diplomirati,17
pripremati,17
uzdizati,17
emigrirati,17
uhvatiti,17
rukovoditi,17
rastati,16
ograničavati,16
ostavljati,16
poslužiti,16
dodavati,16
obuhvatiti,16
osuditi,16
detektovati,16
izašati,16
raspravljati,16
nastupati,16
izdavati,16
sukobljavati,16
poboljšati,16
pobegnuti,16
ratovati,16
napadati,16
spustiti,16
bombardovati,16
obnavljati,16
kiša,16
izbegavati,15
učvrstiti,15
truditi,15
porediti,15
obećati,15
složiti,15
proisteći,15
reagovati,15
svoditi,15
komunicirati,15
praktikovati,15
zapaziti,15
udati,15
suprotstavljati,15
povezati,15
sastati,15
pripojiti,15
odbraniti,15
rotirati,15
smeniti,15
platiti,15
prodati,15
zapisati,14
proširivati,14
zamenjivati,14
obraćati,14
izbijati,14
nameravati,14
izrasti,14
klasifikovati,14
predvideti,14
shvatati,14
prijaviti,14
spomenuti,14
bližati,14
komponovati,14
doseziti,14
umrlati,14
proslavljati,14
izglasati,14
insistirati,14
otpad,14
optužiti,14
počiniti,14
optuživati,14
raširiti,14
pogađati,14
izboriti,14
spasiti,14
osetiti,14
leti,14
migrirati,14
realizovati,13
tj.,13
prilagoditi,13
usporiti,13
izlagati,13
obaviti,13
rešavati,13
izmisliti,13
konstruisati,13
posvećivati,13
poći,13
zanimati,13
izgovarati,13
ograničiti,13
pomerati,13
nadati,13
potisnuti,13
zatvoriti,13
sagraditi,13
takmičiti,13
osuđivati,13
zaključivati,13
poteći,13
uslijediti,13
anektirati,13
susretati,13
suniti,13
čekati,13
naneti,13
sakriti,13
izračunati,13
dospeti,13
sprečavati,13
ustupiti,13
pregovarati,13
ubrzati,13
smenjivati,13
sresti,13
poroditi,13
trošiti,12
raslati,12
olakšati,12
zadovoljavati,12
regulisati,12
izložiti,12
pristajati,12
skupiti,12
svesti,12
izmeriti,12
poništiti,12
udariti,12
zaštititi,12
izvršavati,12
izraditi,12
proizvod,12
odigravati,12
osmisliti,12
omogućivati,12
ispostaviti,12
dijeti,12
prevladavati,12
kulminirati,12
egzistirati,12
odatliti,12
uspostavljati,12
ukloniti,12
zalaziti,12
sumnjati,12
prepustiti,12
dopustiti,12
preduzeti,12
bežati,12
razmišljati,12
odobravati,12
čiliti,12
obilovati,12
oportjuniti,12
koštati,11
izbegnuti,11
kreirati,11
prepoznavati,11
zabranjivati,11
ubediti,11
slušati,11
seliti,11
primećivati,11
zaštita,11
evoluirati,11
zamisliti,11
pretpostaviti,11
uočavati,11
usloviti,11
registrovati,11
odraziti,11
doseći,11
upozoravati,11
podučavati,11
položiti,11
izvlačiti,11
ispunjavati,11
temeljiti,11
probiti,11
razoriti,11
srušiti,11
komandovati,11
okupiti,11
propadati,11
ugušiti,11
gavati,11
zateći,11
obavestiti,11
upasti,11
oslabiti,11
usmrtiti,11
prisvojiti,11
uvećavati,11
isterati,11
udružiti,11
prerastiti,11
simbolizovati,11
opstati,11
snabdevati,11
raspisati,11
lansirati,11
trgovati,11
transformisati,10
zaostajati,10
pročitati,10
prethoditi,10
pomeriti,10
upisivati,10
odavati,10
pronalaziti,10
podnositi,10
zaposliti,10
zaraditi,10
unaprediti,10
umeti,10
proceniti,10
pobiti,10
izbacivati,10
prestajati,10
sudelovati,10
premašiti,10
stupati,10
ukazati,10
abdicirati,10
zavesti,10
podijeliti,10
iskrcati,10
cvetati,10
otputovati,10
dočekati,10
blokirati,10
sastajati,10
odvoditi,10
školovati,10
sastavljati,10
osporavati,10
prilaziti,10
spremati,10
suočavati,10
sukobiti,10
kandidovati,10
udasti,10
pogodovati,10
ploviti,10
nadgledati,10
suspendovati,10
uhapsiti,10
osporiti,10
iseliti,10
rezervati,10
izdejstvovati,10
lediti,10
projektovati,10
dopuštati,9
vučiti,9
savetovati,9
zapošljavati,9
ulagati,9
premestiti,9
ispoljavati,9
ustati,9
oporaviti,9
negovati,9
rezultirati,9
izmeniti,9
prebacivati,9
uzmiti,9
inspirisati,9
izrađivati,9
utvrđivati,9
usmeravati,9
poprimiti,9
osiguravati,9
sežati,9
fokusirati,9
oživeti,9
dobivati,9
prebaciti,9
pobeđivati,9
integrisati,9
nametati,9
paliti,9
kriti,9
donijeti,9
posjedovati,9
djelovati,9
vjerovati,9
ovladati,9
uspiti,9
isključiti,9
naglasiti,9
rangirati,9
usvajati,9
otežavati,9
proslaviti,9
snimati,9
izdržavati,9
odvesti,9
kažnjavati,9
intervenisati,9
zavladati,9
uvoziti,9
ponoviti,9
pridruživati,9
odabrati,9
lečiti,9
diti,9
pojačati,9
orasti,9
spasti,9
presecati,9
slomiti,9
uložiti,9
angažovati,9
saopštavati,9
mučiti,9
plasirati,9
isključivati,8
zapisivati,8
prevazići,8
ignorisati,8
izumeti,8
ilustrovati,8
preporučivati,8
zamisati,8
olakšavati,8
spavati,8
pitati,8
poslušati,8
pripremiti,8
obilaziti,8
stanovati,8
smestiti,8
popremati,8
zadati,8
obećavati,8
zračiti,8
narasti,8
upad,8
nazoviti,8
prodavati,8
dokazivati,8
ispitovati,8
skovati,8
jačati,8
izgrađivati,8
istupiti,8
oscilovati,8
doživjeti,8
uzmeti,8
korist,8
razdvojiti,8
iskazati,8
pretiti,8
spoznavati,8
distribuirati,8
savladati,8
