глагол,частота
biti,512055
imati,27507
moći,25282
nalaziti,11350
koristiti,9653
hteti,8793
postojati,6746
osvojiti,6662
postati,6573
raditi,6187
predstavljati,5823
igrati,5551
učestvovati,5136
dobiti,4970
početi,4562
živeti,4209
završiti,4029
morati,3990
trebati,3927
smatrati,3664
činiti,3154
doći,3135
pripadati,2860
sadržati,2600
voditi,2580
vratiti,2436
dati,2374
ostati,2351
nastati,2345
dolaziti,2265
baviti,2236
nemati,2198
postići,2183
odnositi,2168
objaviti,2139
nositi,2013
nastaviti,2013
uspeti,2002
nazivati,1980
umreti,1964
sastojati,1956
videti,1928
napisati,1781
odigrati,1779
uključivati,1777
dobijati,1746
govoriti,1715
naći,1694
značiti,1692
počinjati,1682
pisati,1679
dovesti,1657
postajati,1653
obuhvatati,1573
ostvariti,1573
davati,1541
nastupati,1524
služiti,1521
preći,1480
omogućavati,1467
ući,1451
javljati,1438
napustiti,1396
znati,1391
pobediti,1391
uticati,1360
pratiti,1356
pokazati,1354
trajati,1346
iznositi,1339
zahtevati,1335
formirati,1307
želeti,1300
reći,1294
pojaviti,1253
započeti,1248
napraviti,1239
zvati,1222
izgubiti,1216
tvrditi,1205
nastajati,1190
vršiti,1189
takmičiti,1178
razlikovati,1172
menjati,1168
održavati,1160
otići,1156
kazati,1150
osnovati,1146
deliti,1137
zauzeti,1128
tražiti,1122
podržavati,1119
provesti,1110
postaviti,1104
pojavljivati,1101
pominjati,1082
stvarati,1079
pokazivati,1075
ići,1070
poticati,1069
odlučiti,1068
obavljati,1057
vraćati,1041
organizovati,1013
razviti,1011
napasti,1001
navoditi,998
kretati,989
pomoći,987
stići,984
razvijati,984
otkriti,981
steći,981
preuzeti,981
držati,979
izvršiti,974
pružati,968
doneti,962
poslati,945
zavisiti,938
dovoditi,916
pokušati,893
prelaziti,886
opisivati,884
ubiti,878
stvoriti,872
izlaziti,871
odlaziti,868
posedovati,867
definisati,862
ostajati,855
verovati,854
objavljivati,851
video,844
promeniti,839
pomagati,827
pokušavati,823
potpisati,822
debitovati,815
izazvati,812
omogućiti,808
obezbediti,808
spadati,807
pronaći,800
boriti,795
održati,792
nastavljati,790
vladati,781
diplomirati,780
povući,771
krenuti,769
osvajati,766
ukazivati,765
čuvati,764
prolaziti,763
proći,758
zadržati,758
označavati,755
pokrenuti,744
zauzimati,743
delovati,743
braniti,741
opisati,740
prikazivati,734
prihvatiti,726
odgovarati,726
poginuti,721
proizvoditi,698
odbiti,690
studirati,689
stajati,688
izdati,678
zameniti,676
junion,670
izvoditi,667
otvoriti,667
pridružiti,665
odvijati,664
ostaviti,663
naslediti,659
učiniti,656
upravljati,655
rasti,654
preseliti,647
uraditi,644
podrazumevati,642
završavati,641
podići,640
voziti,636
ulaziti,632
predati,611
predstaviti,608
plasirati,601
isticati,596
proširiti,594
primenjivati,591
donositi,584
istaći,578
prenositi,576
uzimati,571
iskoristiti,570
upoznati,565
određivati,561
primiti,560
slediti,557
pasti,549
predavati,548
postavljati,542
rešiti,539
sprečiti,538
odrediti,533
izvesti,533
karakterisati,532
predvoditi,529
prestati,527
voleti,526
dozvoljavati,526
posmatrati,525
započinjati,523
dodati,517
sarađivati,516
pohađati,514
proticati,513
priznati,512
povećavati,511
pokrivati,510
ležati,508
uspevati,507
izjaviti,507
smanjivati,506
zasnivati,506
doživeti,501
praviti,498
misliti,498
doprineti,494
povezivati,493
desiti,487
pretpostavljati,485
upisati,484
nuditi,484
birati,483
