глагол,частота
biti,1869
иati,848
s><sti,681
дошлоeti,632
s><s>ati,392
</,361
планетeti,278
сукобeti,266
својеeti,194
живелeti,155
сati,154
|styti,151
избилeti,139
ималиeti,135
<ati,127
појасeti,123
важнуeti,117
напалeti,106
налазилiti,100
смештенiti,94
довелeti,94
отвориeti,93
освојилiti,88
прешлeti,85
астероидti,76
рибеeći,72
црнуeći,67
оснивањiti,65
потичeti,63
просечаi,62
<s>eti,60
собомeti,59
moći,59
леђаeći,58
зимеeći,58
започелiti,57
кренулeti,57
продрлeti,55
саставeti,55
отворилiti,55
билеeći,51
отворeti,50
ималаeti,50
основалiti,50
домовeti,50
учешћeti,46
земљеeti,45
отпочелiti,45
ватруeti,45
налазeti,44
туркеeti,43
проценeti,41
оставилiti,39
повукeti,38
освојилi,38
изазвалiti,36
количинiti,36
богатeti,36
нафтеeti,36
left,35
сарадњeti,35
гасаeći,34
блискоeti,34
imati,33
чврстeti,31
sati,30
дубљеeti,30
радилeti,30
климаeti,30
сломаeti,29
одигралiti,29
залихeti,29
|ati,29
просторiti,28
ногеeći,28
trebati,28
koristiti,28
орбитeti,27
утицалeti,27
избијањiti,26
чинилeti,26
летњиeti,26
спремнeti,26
s><s>iti,26
повућeti,25
рудникeti,25
нашлаeti,24
почелeti,24
побунeti,24
продрeti,23
изборeti,23
игралeti,22
добилeti,22
тражилeti,22
кризуeti,22
крилаeti,22
знатнeti,21
последицti,21
штрајeti,21
смештајiti,20
регијeti,20
просечнiti,20
ufficići,20
отварeti,19
прикључиti,19
отварајiti,19
челоeći,19
хладнeti,18
излазeti,18
разарањiti,18
пошаљeti,18
заузелeti,18
<s>{|,18
просечнi,18
отелиeti,18
малогeti,18
postojati,18
јављајeti,17
исподeti,17
припојиi,17
упалиeti,17
пресуднiti,16
покушалiti,16
странeti,16
ногамeti,16
резервeti,16
бокуeći,16
пределeti,16
заменeti,16
задобиeti,16
smatrati,16
оставeti,15
мотивeti,15
оснивајiti,15
улогуeti,15
узелиeti,15
започињiti,15
бунеeći,15
продорeti,15
умрлаeti,15
насликаiti,15
отварањiti,14
сумњеeti,14
лежеeći,14
наступeti,14
ширилeti,14
јакеeći,14
живиeći,14
изградњi,13
изградњiti,13
офанзивiti,13
плоднeti,13
зетеeći,13
zahtevati,13
дошлеeti,12
заробилiti,12
убилеeti,12
video,12
поделилiti,12
facsimiti,12
прераслiti,12
тамницeti,12
tvrditi,12
низијeti,11
припојeti,11
објеeći,11
смештаeti,11
спојилeti,11
пунолетнti,11
ослободииiti,11
погоднeti,11
s><s>kati,11
личеeći,10
понудeti,10
враћалeti,10
успјелeti,10
реткеeti,10
прерастаi,10
освојенiti,10
primati,10
hteti,10
моравeti,10
потуклeti,10
отпочнeti,10
важилeti,10
устанкeti,10
сјајаeti,9
однелeti,9
хранеeti,9
značiti,9
трговачкti,9
иструeti,9
пређуeti,9
извелeti,9
рукеeći,9
продоeti,9
склонeti,9
износeti,9
поразилi,9
raditi,9
осталeti,9
зетуeći,9
купилeti,9
кафанeti,9
definisati,9
plaćati,9
прстеeti,8
гушењeti,8
посталeti,8
лежалeti,8
продирeti,8
дati,8
нашаоeti,8
деценијааiti,8
датирајiti,8
обзирeti,8
profil,8
колонијiti,8
рибаeći,8
открићeti,8
мучеeći,8
јачањeti,8
упадајeti,8
imageti,8
ухватeti,8
уздигаeti,8
грбовeti,8
=ati,8
odnositi,8
отворенiti,8
morati,8
шапеeći,8
snositi,8
_prezati,7
слабоeti,7
позицијiti,7
imperiti,7
формираiti,7
отпочелi,7
израслeti,7
влашћeti,7
фронтeti,7
измеђeti,7
сталаeti,7
ухапсиeti,7
започелi,7
населилiti,7
смјештенti,7
градњeti,7
guiditi,7
озбиљнeti,7
такмичeti,7
десноeti,7
dati,7
erniti,7
отмуeći,7
досељенiti,7
videti,7
s><s>marteti,7
саграђенti,7
činiti,7
nemati,7
изласкeti,6
заробљенti,6
поднебљiti,6
постојалti,6
држалeti,6
смештенi,6
појачалiti,6
снажнeti,6
наглоeti,6
богатоeti,6
основаeti,6
дружинeti,6
берберeti,6
топлиeti,6
оснивалiti,6
наглиeti,6
осетилeti,6
тражеeti,6
штрајкeti,6
трупаeti,6
сребрнeti,6
universati,6
стануeti,6
топлијeti,6
соларноiti,6
уati,6
природeti,6
napisati,6
тамнеeti,6
наносeti,6
жељеeći,6
кројеeti,6
насељeti,6
натраeti,6
искористti,6
uključivati,6
kretati,6
predstavljati,6
светскоiti,6
}-,5
s><s>diti,5
изводилiti,5
јављалeti,5
повећалi,5
трајалeti,5
једуeći,5
поделиeti,5
baviti,5
продиралti,5
собеeći,5
нисуeći,5
важнеeti,5
половинiti,5
запазилiti,5
упадалeti,5
повуклeti,5
доживљавti,5
хладниeti,5
увлачeti,5
припојилti,5
прикључiti,5
основанiti,5
уснеeći,5
орбитоeti,5
искрцалiti,5
заосталiti,5
завршенiti,5
делилeti,5
окупилeti,5
назвалeti,5
prevesti,5
отпочeti,5
пометњeti,5
<s>kati,5
почињeti,5
лепеeći,5
тимуeći,5
sastojati,5
izabellati,5
dovesti,5
nalaziti,5
misliti,5
prenositi,5
postati,5
pisati,5
robiti,5
напуштeti,4
арапиeti,4
масеeći,4
{|styti,4
nastati,4
црпеeći,4
postavljati,4
падајeti,4
такмичилti,4
удајуeti,4
затеклeti,4
избијeti,4
плаћалeti,4
нашлеeti,4
удружилiti,4
израстаiti,4
догађајiti,4
извлачeti,4
појавилiti,4
априлeti,4
заостајiti,4
убрзалeti,4
улогеeti,4
врстеeti,4
ушаоeći,4
delleti,4
задржаeti,4
dobiti,4
continuti,4
podneti,4
početi,4
упловилiti,4
тамнуeti,4
остављалti,4
живјелeti,4
округeti,4
важноeti,4
даљиeći,4
главнeti,4
нападeti,4
ушлиeći,4
златнeti,4
пролећeti,4
стокаeti,4
запоселiti,4
сазвалeti,4
пружилeti,4
тумачeti,4
млечанeti,4
борбеeti,4
писалeti,4
затичeti,4
отералeti,4
ići,4
prolaziti,4
javljati,4
razdeliti,4
nazivati,4
naći,4
objaviti,4
isporučiti,4
<s>praviti,4
pribaviti,4
učiniti,4
napomenuti,4
vršiti,4
razmotriti,4
fokusirati,4
чекалeti,4
нападалiti,4
одсуднeti,4
izvoditi,4
османскоti,4
zrobiti,4
<prezati,3
елементiti,3
прерастiti,3
држањeti,3
>charlottesviti,3
гајилeti,3
епскеeti,3
отичуeti,3
оati,3
одсеклeti,3
оставившti,3
кружилeti,3
ширењeti,3
радовeti,3
постајeti,3
тицалeti,3
несрећноti,3
истералiti,3
сломуeti,3
градилeti,3
присутнiti,3
сеоскоeti,3
погодноiti,3
сменилeti,3
победилiti,3
бијелeti,3
одвојилiti,3
прерастаti,3
траговeti,3
створенiti,3
уступилiti,3
избијајiti,3
отваранiti,3
шati,3
деценијi,3
imagati,3
сукобилiti,3
лучкоeti,3
dallati,3
унелиeti,3
ујединилti,3
ухапшенiti,3
вратаeti,3
свађуeti,3
tona,3
уписалeti,3
figliti,3
заљубиeti,3
домовинiti,3
однесeti,3
пореткeti,3
<s>sesti,3
данаeći,3
увођењeti,3
posedovati,3
razvijati,3
зулумeti,3
рањенeti,3
захватилti,3
затварањti,3
протералti,3
побилeti,3
налазиeti,3
ući,3
<s>diti,3
proportion,3
певачкоiti,3
састалeti,3
формиралti,3
одводeti,3
плаћајeti,3
примљеeti,3
равницeti,3
досежeti,3
кометeti,3
s><s>matiti,3
потицалiti,3
представti,3
почнуeti,3
s><s>p.,3
усталeti,3
изградњоi,3
novesti,3
.<ati,3
кућаeći,3
затворeti,3
важнијeti,3
повелeti,3
исеклeti,3
кључнeti,3
<s><div,3
довуклeti,3
сликајeti,3
доводилiti,3
stići,3
титулeti,3
умешалeti,3
погођенiti,3
