base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
biti,dobiti,do,42821183,123441
biti,izbiti,iz,42821183,3657
biti,probiti,pro,42821183,1866
biti,razbiti,raz,42821183,1802
biti,ubiti,u,42821183,10187
biti,zabiti,za,42821183,218
biti,prebiti,pre,41402774,156
biti,nabiti,na,40866284,183
biti,odbiti,od,38194575,2190
biti,pribiti,pri,38194575,50
biti,sabiti,sa,38194575,76
biti,obiti,o,4626608,86
biti,pobiti,po,4626608,762
gledati,izgledati,iz,1659923,12155
gledati,pregledati,pre,1659923,1698
gledati,ugledati,u,1659923,3362
gledati,razgledati,raz,1659090,403
gledati,zagledati,za,1658863,1290
gledati,progledati,pro,1658433,78
gledati,nagledati,na,1658028,127
gledati,nadgledati,nad,1657248,530
gledati,odgledati,od,1657248,64
gledati,sagledati,sa,1657248,1054
govoriti,dogovoriti,do,1517288,1986
govoriti,izgovoriti,iz,1517288,1748
govoriti,nagovoriti,na,1517288,783
govoriti,progovoriti,pro,1517288,1160
govoriti,ugovoriti,u,1517288,466
govoriti,prigovoriti,pri,1503876,109
govoriti,odgovoriti,od,1501894,9023
reći,izreći,iz,1299070,1035
reći,proreći,pro,1299070,140
reći,zareći,za,1295055,70
reći,odreći,od,1289935,709
nositi,donositi,do,815580,9930
nositi,iznositi,iz,815580,80385
nositi,nanositi,na,815580,1412
nositi,prenositi,pre,815580,6369
nositi,prinositi,pri,815580,1112
nositi,raznositi,raz,815580,214
nositi,unositi,u,815580,2010
imati,nadimati,nad,814165,142
imati,uzimati,uz,814165,72735
nositi,zanositi,za,809690,251
nositi,pronositi,pro,807561,92
nositi,nadnositi,nad,801113,82
nositi,odnositi,od,801113,8591
nositi,podnositi,pod,801113,1772
raditi,izraditi,iz,754466,3089
raditi,preraditi,pre,754466,311
raditi,razraditi,raz,754466,383
raditi,uraditi,u,754466,10663
raditi,zaraditi,za,754466,1767
voditi,dovoditi,do,750849,8822
voditi,izvoditi,iz,750849,9863
voditi,navoditi,na,750849,13471
voditi,prevoditi,pre,750849,1761
voditi,privoditi,pri,750849,174
voditi,provoditi,pro,750849,4707
voditi,razvoditi,raz,750849,174
voditi,uvoditi,u,750849,2703
voditi,zavoditi,za,750849,307
raditi,proraditi,pro,748279,160
voditi,odvoditi,od,729950,290
raditi,obraditi,ob,718034,443
raditi,odraditi,od,718034,219
kazati,dokazati,do,696315,3942
kazati,prikazati,pri,696315,4121
kazati,ukazati,u,696315,5950
kazati,zakazati,za,696315,611
videti,uvideti,u,627015,1017
videti,prevideti,pre,625133,81
videti,zavideti,za,619823,281
misliti,izmisliti,iz,598425,1248
misliti,razmisliti,raz,598425,1349
misliti,zamisliti,za,598425,4105
misliti,umisliti,u,594888,63
misliti,promisliti,pro,594430,176
dati,dodati,do,587832,24680
dati,izdati,iz,587832,7754
dati,predati,pre,587832,12875
dati,pridati,pri,587832,168
dati,prodati,pro,587832,6308
dati,udati,u,587832,4385
dati,zadati,za,587832,816
moći,domoći,do,580447,610
dati,uzdati,uz,569473,2404
nalaziti,pronalaziti,pro,537229,2101
